item_type,brand,name,price,quantity,size,color,rpm,airflow,noise_level,pwm
fan,NZXT, F140 RGB 2-Pack,303.27,34,140,White,"500,1800","24.85,89.48","20,32.5",true
fan,NZXT, F120 RGB Core 3-Pack,303.27,52,120,White,"500,1800",78.86,33.88,true
fan,Lian Li, UNI FAN SL-INF Reverse Blade,126.44,6,140,White,"200,1600",71.6,28.6,true
fan,Deepcool, FC120,69.28,55,120,Black,"500,1800",,,true
fan,Corsair, iCUE AR120 Digital RGB 3-Pack,194.94,15,120,White,"400,1850","10.7,59","10,27.3",true
fan,Phanteks, PH-F120T30,151.57,48,120,Black / Gray,,"0,101","0,39.7",true
fan,be quiet!, Light Wings PWM high-speed 3-Pack,237.88,41,120,Black,2500,52.3,31,true
fan,Noctua, F12 PWM,94.37,13,120,Brown,"300,1500","43.73,54.97","18.6,22.4",true
fan,Corsair, iCUE SP RGB ELITE 3-Pack,303.22,59,120,White,"400,1500",47.73,28,true
fan,ARCTIC, P12 PST,44.8,31,120,White,"200,1800",56.3,,true
fan,Lian Li, UNI FAN SL V2,151.57,28,140,Black / Silver,"250,1600",77.6,29,true
fan,ARCTIC, P12 Slim PWM PST,38.95,48,120,Black,"300,2100",41.1,22.5,true
fan,Phanteks, D30-120 Reversed 3-Pack,389.93,38,120,White,"250,2000",61.5,31.8,true
fan,NZXT, F120 RGB,108.28,5,120,White,"500,1800","13.94,50.18","17.2,27.5",true
fan,Asus, TUF Gaming TF120 ARGB 3-Pack,216.61,47,120,Black / White,"250,1900",76,29,true
fan,Corsair, LL120 3-Pack,303.22,55,120,White,2200,63,36,true
fan,Corsair, AF120 ELITE,84.71,2,120,Black,"400,1850","10.9,59.1",31.5,true
fan,be quiet!, Pure Wings 2,42.9,10,140,Black,"400,1000",61.2,19.8,true
fan,Corsair, iCUE AR120 Digital RGB,86.57,32,120,Black,"400,1850","10.7,59","10,27.3",true
fan,Lian Li, UNI FAN P28 3-Pack,246.55,5,120,Black,"200,2600","44.94,92","20.4,32.1",true
fan,Thermalright, TL-C12RW-S V2,30.29,42,120,Black / White,1500,58,25.6,true
fan,NZXT, F140 RGB 2-Pack,303.27,38,140,Black,"500,1800","24.85,89.48","20,32.5",true
fan,NZXT, F120 RGB DUO 3-Pack,407.26,46,120,Black,"500,1800",48.58,29,true
fan,Lian Li, UNI FAN AL120 V2 3-Pack,323.07,46,120,Black,"250,2000",77.3,28.7,true
fan,Montech, RX120,55.9,57,120,Black,"800,1600",59,27,true
fan,Corsair, iCUE AF120 RGB ELITE 3-Pack,389.93,7,120,White,"550,2100","13.8,65.57","5,34.1",true
fan,NZXT, F120 RGB DUO,186.23,58,120,Black,"500,1800",48.58,29,true
fan,ARCTIC, P14 Max,56.29,40,140,Black,"400,2800",95,,true
fan,Corsair, iCUE QL120 3-Pack,389.93,17,120,Black,1500,41.8,26,true
fan,Phanteks, D30-120,147.24,55,120,Black,"250,2000",64.3,30.2,true
fan,Corsair, SP120 ELITE,64.95,46,120,Black,"300,1300","6.37,45.4","5,20.6",true
fan,Phanteks, PH-F120T30 3-Pack,368.26,12,120,Black / Gray,,"0,101","0,39.7",true
fan,NZXT, F120P,108.24,0,120,Black,"500,1800","21.67,78.02","17.9,30.6",true
fan,ARCTIC, P12 PST A-RGB 0dB,73.57,27,120,Black,,48.8,,true
fan,Phanteks, D30-120 3-Pack,389.93,37,120,Black,"250,2000",64.3,30.2,true
fan,Lian Li, UNI FAN AL120 V2 3-Pack,277.31,32,120,White,"250,2000",77.3,28.7,true
fan,Lian Li, UNI FAN SL V2,129.95,15,140,White / Silver,"250,1600",77.6,29,true
fan,Corsair, LL120,121.28,50,120,Black,"600,1500",43.25,24.8,true
fan,ARCTIC, P14 PST,56.29,34,140,White,"200,1700",72.8,22.5,true
fan,Cooler Master, MasterFan MF Halo 3-Pack,242.78,23,120,Black,"650,1800",47.2,"6,30",true
fan,Montech, RX120,55.9,53,120,White,"800,1600",59,27,true
fan,Noctua, F12 PWM chromax.black.swap,107.24,37,120,Multicolor,"300,1500",54.97,22.4,true
fan,Corsair, iCUE LINK RX120 3-Pack,411.59,13,120,Black / White,2100,"10.5,74.2","10,36",false
fan,Phanteks, D30-120,147.24,8,120,White,"250,2000",64.3,30.2,true
fan,Thermaltake, SWAFAN EX12 ARGB 3-Pack,329.22,54,120,Black,"500,2000","56.26,57.11","30.6,32.5",true
fan,ARCTIC, P12 5-Pack,103.95,57,120,Black,1800,56.3,,false
fan,Noctua, A9x14 HS-PWM chromax.Black.swap,95.11,44,92,Black / Multicolor,"600,2500",33.84,23.6,true
fan,Noctua, P14s redux-1500 PWM,73.44,37,140,Black / Gray,"450,1500",78.69,25.8,true
fan,Thermalright, TL-S12W,30.29,22,120,White,1500,47.6,23.2,true
fan,NZXT, F120 RGB DUO 3-Pack,498.25,35,120,White,"500,1800",48.58,29,true
fan,Corsair, iCUE AF120 RGB SLIM,121.28,41,120,Black,"600,2000","13.4,56.3",27.5,true
fan,ARCTIC, P14 PST 5-Pack,272.55,29,140,Black,"200,1700",72.8,22.5,true
fan,Cooler Master, SickleFlow 3-Pack,246.68,41,120,Black,"650,1800",62,"8,27",true
fan,Noctua, S12A PWM chromax.black.swap,99.23,19,120,Multicolor,"300,1200",63.27,17.8,true
fan,Thermalright, TL-C12CW,28.55,21,120,White,1550,66.17,25.6,true
fan,Thermalright, TL-S12,29.42,10,120,Black,1500,47.6,23.2,true
fan,NZXT, F140 RGB,116.95,48,140,White,"500,1800","24.85,89.48","20,32.5",true
