item_type,brand,name,price,quantity,rpm,noise_level,color,size
cooler,Corsair, iCUE H100i ELITE CAPELLIX XT,628.24,26,"550,2100","5,34.1",Black,240.0
cooler,ARCTIC, Liquid Freezer III,485.25,11,"200,1700",,Black,280.0
cooler,Deepcool, ASSASSIN IV,368.26,38,"500,1700","22.6,29.3",Black,
cooler,Corsair, iCUE LINK H150i LCD,974.88,43,"480,2400",,Black,360.0
cooler,Lian Li, Galahad II Trinity,515.63,39,2450,35.4,White,360.0
cooler,Corsair, iCUE H150i ELITE LCD XT,1126.54,58,"550,2100","5,31.1",White / Gray,360.0
cooler,ARCTIC, Liquid Freezer III,554.58,37,"200,1700",,Black,420.0
cooler,Thermalright, AXP90-X47,99.23,20,2700,22.4,Black,
cooler,ARCTIC, Liquid Freezer II 280,411.59,21,"200,1700",,Black,280.0
cooler,NZXT, T120 RGB,216.61,44,"500,1800","17.2,27.5",Black,
cooler,be quiet!, Pure Rock Slim 2,107.89,20,,"13.1,25.4",Black / Silver,
cooler,Asus, ROG STRIX LC II ARGB,563.25,41,"800,2500",37.6,Black,360.0
cooler,Noctua, NH-D9L,238.1,2,"400,2000","16.3,22.8",,
cooler,Cooler Master, MasterLiquid ML240L ARGB V2,259.94,13,"650,1800","8,27",Black,240.0
cooler,Thermalright, Assassin Spirit 120 EVO,99.23,57,2000,28.2,Black,
cooler,Thermalright, Phantom Spirit,164.22,55,1500,25.6,Black / Silver,
cooler,Deepcool, LS720,602.29,13,"500,2250",32.9,Black,360.0
cooler,NZXT, Kraken Elite 240,693.24,41,"500,1800","17.9,30.6",Black,240.0
cooler,Noctua, NH-U9S chromax.black,303.09,28,"400,2000","16.3,22.8",Black,
cooler,Noctua, NH-L9A-AM5,194.77,9,"600,2500","14.8,23.6",Brown / Silver,
cooler,Corsair, iCUE H150i RGB ELITE,779.9,37,"400,1850","19,35.8",Black,360.0
cooler,Corsair, iCUE LINK H150i LCD,1234.86,38,"480,2400",,White,360.0
cooler,Thermalright, Assassin X SE,73.18,19,2200,23.85,Black / Silver,
cooler,Noctua, NH-D15S chromax.black,476.41,5,"300,1500","19.2,24.6",Black,
