item_type,name,price,capacity,cache,form_factor,interface
SSD,Lexar NM790,395.95,1000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Kingston KC3000,433.26,1024.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Western Digital Blue SN570,303.27,1000.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,Crucial P5 Plus,835.27,2000.0,2048.0,M.2-2280,M.2 PCIe 4.0 X4
SSD,Western Digital Blue SN570,190.35,500.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,Lexar NM620,309.59,1000.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,VisionTek QLC,6499.46,8000.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,Acer Predator GM7000,368.26,1000.0,1024.0,M.2-2280,M.2 PCIe 4.0 X4
SSD,Sabrent Rocket 5,3163.05,4000.0,,M.2-2280,M.2 PCIe 5.0 X4
SSD,Samsung 980 Pro w/Heatsink,795.32,2000.0,2048.0,M.2-2280,M.2 PCIe 4.0 X4
SSD,Samsung 990 Pro w/Heatsink,823.23,2000.0,2048.0,M.2-2280,M.2 PCIe 4.0 X4
SSD,Kingston A400,163.74,480.0,,2.5,SATA 6.0 Gb/s
SSD,Kingston NV2,138.61,250.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Kingston Fury Renegade,749.57,2000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Patriot P300,255.6,1000.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,MSI SPATIUM M480 PRO,363.97,1000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Patriot P300,77.91,128.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,Crucial MX500,693.24,2000.0,2048.0,2.5,SATA 6.0 Gb/s
SSD,Leven JPS800,259.94,1000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Samsung 980 Pro w/Heatsink,519.92,1000.0,1024.0,M.2-2280,M.2 PCIe 4.0 X4
SSD,Corsair MP600 PRO XT,4202.97,8000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Western Digital Black SN770,302.96,500.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,TEAMGROUP T-Force Vulcan Z,134.28,512.0,,2.5,SATA 6.0 Gb/s
