item_type,brand,name,price,type,efficiency,wattage,modular,color
psu,Lian Li, SP,575.51,SFX,gold,750,Full,Black
psu,EVGA, 650BP,238.27,ATX,bronze,650,false,Black
psu,SeaSonic, FOCUS GX,559.39,ATX,gold,650,Full,Black
psu,MSI, MAG A850GL PCIE5,492.4,ATX,gold,850,Full,White
psu,EVGA, 500 W1,216.04,ATX,plus,500,false,
psu,Cooler Master, V850 SFX GOLD,810.23,SFX,gold,850,Full,Black
psu,ADATA, XPG Core Reactor II,433.26,ATX,gold,850,Full,Black
psu,be quiet!, Straight Power 12,822.84,ATX,platinum,1000,Full,Black
psu,be quiet!, Dark Power 13,822.84,ATX,titanium,850,Full,Black
psu,EVGA, SuperNOVA 650 GT,411.59,ATX,gold,650,Full,Black
psu,MSI, MEG Ai1300P PCIE5,1295.57,ATX,platinum,1300,Full,Black / Copper
psu,Apevia, CAPTAIN,138.61,ATX,,550,false,Black
psu,Deepcool, PX1000G,563.25,ATX,gold,1000,Full,Black
psu,Gigabyte, P450B,254.17,ATX,bronze,450,false,Black
psu,SeaSonic, FOCUS Plus Platinum,467.92,ATX,platinum,750,Full,
psu,EVGA, 600 BR,296.59,ATX,bronze,600,false,
psu,NZXT, C1200,793.37,ATX,gold,1200,Full,Black
psu,Asus, ROG STRIX 1000G,749.57,ATX,gold,1000,Full,Black
psu,SeaSonic, PRIME TX-1000,1949.81,ATX,titanium,1000,Full,Black
psu,NZXT, C1000 (2022),649.82,ATX,gold,1000,Full,Black
psu,Asus, TUF Gaming 1000G,649.91,ATX,gold,1000,Full,Black
psu,Corsair, AX1200,3028.77,ATX,gold,1200,Full,
psu,Corsair, HX1200 Platinum,1798.2,ATX,platinum,1200,Full,
psu,Super Flower, Leadex Platinum SE,628.24,ATX,platinum,1000,Full,White
psu,SeaSonic, FOCUS Plus 750 Gold,324.93,ATX,gold,750,Full,
psu,Asus, TUF Gaming 850G,606.58,ATX,gold,850,Full,Black
psu,Apevia, Prestige,290.22,ATX,gold,800,false,Black
psu,Asus, Prime AP-750G,476.59,ATX,gold,750,Full,White / Black
psu,ADATA, XPG CORE Reactor 750,389.93,ATX,gold,750,Full,Black
psu,Super Flower, Leadex III Gold,433.26,ATX,gold,750,Full,Black
psu,EVGA, 600 GD,324.89,ATX,gold,600,false,Black
psu,Apevia, Galaxy,303.22,ATX,gold,850,Semi,Black
psu,MSI, MAG A750BN PCIE5,363.97,ATX,bronze,750,false,Black
psu,Logisys, PS480D,73.57,ATX,,480,false,
psu,EVGA, SuperNOVA 850 P5,519.92,ATX,platinum,850,Full,Black / Teal
psu,Thermaltake, Smart BM3,346.55,ATX,bronze,850,Semi,Black
psu,EVGA, 700 GD,368.26,ATX,gold,700,false,Black
psu,Gigabyte, UD1000GM,563.25,ATX,gold,1000,Full,Black
psu,Corsair, RM750 (2019),910.32,ATX,gold,750,Full,Black
psu,Lian Li, SP750,606.58,SFX,gold,750,Full,White
psu,Corsair, RM1200x SHIFT,892.55,ATX,gold,1200,Full / Side,Black
psu,Corsair, RM1000x,1061.54,ATX,gold,1000,Full,
psu,Lian Li, SP850,636.69,SFX,gold,850,Full,White
psu,SeaSonic, FOCUS GX,563.25,ATX,gold,1000,Full,Black
psu,Corsair, RM1000x SHIFT,815.21,ATX,gold,1000,Full / Side,White
psu,Thermaltake, Toughpower GF3 TT Premium,1256.53,ATX,gold,1650,Full,Black
psu,Gigabyte, UD1000GM PG5 (rev. 2.0),498.25,ATX,gold,1000,Full,Black
psu,Asus, ROG THOR P2 Gaming,866.56,ATX,platinum,850,Full,Black / Silver
psu,EVGA, 400 N1,299.37,ATX,,400,false,
