item_type,brand,name,price,quantity,core_count,core_clock,boost_clock,tdp,graphics,smt
cpu,Intel, Core i3-12100,506.87,20,4,3.3,4.3,60,Intel UHD Graphics 730,true
cpu,Intel, Core i9-12900KF,1471.27,39,16,3.2,5.2,125,,true
cpu,Intel, Core i7-12700F,1083.21,46,12,2.1,4.9,65,,true
cpu,Intel, Core i3-13100F,476.59,34,4,3.4,4.5,58,,true
cpu,Intel, Core i5-9400F,415.92,4,6,2.9,4.1,65,,false
cpu,Intel, Core i7-7700K,996.59,9,4,4.2,4.5,91,Intel HD Graphics 630,true
cpu,Intel, Core i7-6700K,779.94,30,4,4.0,4.2,91,Intel HD Graphics 530,true
cpu,Intel, Core i9-13900KS,2556.43,31,24,3.0,6.0,150,Intel UHD Graphics 770,true
cpu,AMD, Ryzen 5 3600,519.92,18,6,3.6,4.2,65,,true
cpu,Intel, Core i7-13700F,1516.46,19,16,2.1,5.2,65,,true
cpu,AMD, Ryzen 7 3800X,1234.9,8,8,3.9,4.5,105,,true
cpu,Intel, Core i7-11700K,1009.59,11,8,3.6,5.0,125,Intel UHD Graphics 750,true
cpu,AMD, Ryzen 5 3400G,425.28,44,4,3.7,4.2,65,Radeon Vega 11,true
cpu,Intel, Core i5-9600K,593.62,42,6,3.7,4.6,95,Intel UHD Graphics 630,false
cpu,Intel, Core i9-11900K,1117.87,35,8,3.5,5.3,125,Intel UHD Graphics 750,true
cpu,Intel, Core i5-10400,563.29,25,6,2.9,4.3,65,Intel UHD Graphics 630,true
cpu,Intel, Core i5-6500,290.31,15,4,3.2,3.6,65,Intel HD Graphics 530,false
cpu,AMD, Ryzen 5 2600X,844.94,20,6,3.6,4.2,95,,true
cpu,Intel, Core i7-8700,866.6,15,6,3.2,4.6,65,Intel UHD Graphics 630,true
cpu,Intel, Core i9-10900K,1949.85,52,10,3.7,5.3,125,Intel UHD Graphics 630,true
cpu,Intel, Core i7-14700,1733.11,58,20,2.1,5.4,65,Intel UHD Graphics 770,true
cpu,Intel, Core i5-13400,992.17,32,10,2.5,4.6,65,Intel UHD Graphics 730,true
cpu,Intel, Core i5-8400,537.29,35,6,2.8,4.0,65,Intel UHD Graphics 630,false
cpu,AMD, Ryzen 5 5500GT,498.3,8,6,3.6,4.4,65,Radeon Vega 7,true
cpu,Intel, Core i3-14100,645.62,6,4,3.5,4.7,60,Intel UHD Graphics 730,true
cpu,Intel, Core i7-6700,554.62,23,4,3.4,4.0,65,Intel HD Graphics 530,true
cpu,Intel, Core i7-10700F,948.88,57,8,2.9,4.8,65,,true
cpu,Intel, Core i7-12700,1150.37,46,12,2.1,4.9,65,Intel UHD Graphics 770,true
cpu,Intel, Core i9-12900KS,1598.88,40,16,3.4,5.5,150,Intel UHD Graphics 770,true
cpu,AMD, Ryzen 3 3100,736.61,14,4,3.6,3.9,65,,true
cpu,Intel, Core i5-4690K,229.65,51,4,3.5,3.9,88,Intel HD Graphics 4600,false
cpu,Intel, Core i5-10600K,735.09,47,6,4.1,4.8,125,Intel UHD Graphics 630,true
cpu,AMD, Ryzen 9 3950X,2144.84,2,16,3.5,4.7,105,,true
cpu,Intel, Core i7-7700,723.61,22,4,3.6,4.2,65,Intel HD Graphics 630,true
cpu,AMD, Ryzen 5 5600GT,563.29,53,6,3.6,4.6,65,Radeon Vega 7,true
cpu,Intel, Core i9-10850K,1208.91,8,10,3.6,5.2,125,Intel UHD Graphics 630,true
cpu,AMD, Threadripper 3960X,5390.34,42,24,3.8,4.5,280,,true
cpu,Intel, Core i5-11400,591.45,52,6,2.6,4.4,65,Intel UHD Graphics 730,true
cpu,Intel, Core i9-11900KF,1005.26,38,8,3.5,5.3,125,,true
cpu,AMD, Ryzen 5 1600 (14nm),1109.55,10,6,3.2,3.6,65,,true
cpu,Intel, Core i5-14400,996.5,59,10,2.5,4.7,65,Intel UHD Graphics 730,true
cpu,Intel, Core i7-4770,324.76,53,4,3.4,3.9,84,Intel HD Graphics 4600,true
cpu,Intel, Core i5-10600KF,532.96,51,6,4.1,4.8,125,,true
cpu,Intel, Core i7-11700F,875.22,57,8,2.5,4.9,65,,true
cpu,AMD, Ryzen 7 2700,801.6,55,8,3.2,4.1,65,,true
cpu,Intel, Core i7-6950X,3487.98,52,10,3.0,3.5,140,,true
cpu,Intel, Core i5-11600K,779.9,21,6,3.9,4.9,125,Intel UHD Graphics 750,true
cpu,Intel, Core i5-6600K,563.29,5,4,3.5,3.9,91,Intel HD Graphics 530,false
cpu,Intel, Core i3-10100,406.18,2,4,3.6,4.3,65,Intel UHD Graphics 630,true
cpu,Intel, Core i7-13700,1611.83,58,16,2.1,5.2,65,Intel UHD Graphics 770,true
cpu,Intel, Core i5-12500,849.18,41,6,3.0,4.6,65,Intel UHD Graphics 770,true
