name,price,rpm,noise_level,color,size
Jonsbo CR-1400 EVO Color White,107.81,"800,2200","22.3,33.8",White,
Cooler Master I70C,108.24,"650,1800",28,Black / Silver,
Zalman CNPS9X Performa,86.62,"700,1800",28,Black,
ID-COOLING AURAFLOW X,259.94,"700,1800","18,35.2",Black,240.0
Cooler Master MasterLiquid ML360L ARGB V2,519.92,"650,1800","8,27",White,360.0
EK AIO 240 D-RGB,545.91,"450,2600",36.4,Black,240.0
Cooler Master MasterLiquid ML280 Mirror,654.24,"650,1400","10,27",Black,280.0
Corsair H115i RGB PLATINUM,1169.87,2000,37,Black / Silver,280.0
Noctua NH-U9DXi4,281.43,"300,1600","13.1,17.6",,
NZXT T120,173.28,"500,1800","17.9,30.6",White,
Deepcool LS520 WH,447.77,"500,2250",32.9,White,240.0
Lian Li Galahad II LCD,866.56,"300,1550",26.7,White,280.0
Phanteks GLACIER ONE 420D30,779.9,"250,1800",29.5,Black,420.0
Thermaltake TH420 V2 Ultra ARGB Sync,649.91,"500,2000",34.7,White,420.0
Thermalright SI-100 WHITE ARGB,116.56,2000,27.7,White,
Noctua NH-L9x65 SE-AM4,259.76,"600,2500","14.8,23.6",,
Thermalright Silver Soul 110,125.22,2500,23,White,
Thermalright Silver Soul 110,155.55,2500,23,Black,
Fractal Design Lumen S36 RGB V2,584.87,"500,2000","10,33.2",Black,360.0
Thermalright SI-100,116.56,2000,27.7,Blue,
be quiet! Shadow Rock LP,216.22,1500,"14.8,25.5",,
Deepcool AG620 WH ARGB,247.98,"300,1850",29.4,White,
Cooler Master Hyper 620S,216.61,"350,1750",27.2,Black / Silver,
MSI MAG CORELIQUID 360R V2,603.07,"500,2000","14.3,34.3",White,360.0
Lian Li GALAHAD AIO 240 RGB UNI FAN SL120 EDITION,974.97,"800,1900",32,White / Silver,240.0
EK AIO 280 D-RGB,492.19,"500,2000",36.4,Black / Translucent White,280.0
Cooler Master MasterLiquid ML240 Illusion,550.51,"650,1800","6,30",Black,240.0
Cooler Master MasterLiquid ML240L V2 RGB,562.86,"650,1800","8,27",White / Black,240.0
Alphacool Eisbaer Pro Aurora,987.53,,31.5,Black,360.0
be quiet! Pure Loop 2 FX,476.2,,"10.8,32.8",Black,280.0
Cooler Master MasterLiquid PL360 FLUX,779.9,,32,Black,360.0
Thermaltake TH360 V2 Ultra ARGB Sync,810.83,"500,1800",25.8,White,360.0
MSI MPG CORELIQUID K360,1689.87,,39.9,Black,360.0
Thermalright Frozen Edge,233.55,2150,28.1,White,240.0
ENDORFY Spartan 5 MAX ARGB,184.37,"250,1500",,Black / Silver,
Asus ROG STRIX LC II,389.93,"800,2500",37.6,Black,240.0
be quiet! Dark Rock TF 2,389.54,1400,,Black,
Noctua NH-U9B SE2,519.92,"1000,1600","7.9,17.6",,
Noctua NH-C14S,346.42,"300,1500","19.2,24.6",,
Corsair iCUE H115i ELITE CAPELLIX,866.6,2000,"10,36",Black,280.0
Phanteks Glacier One 360 T30 Gen2,1692.77,"1200,3000","11.1,39.7",Black / Gray,360.0
Noctua NH-U14S TR4-SP3,433.08,"300,1500","19.2,24.6",,
Lian Li Galahad II LCD,909.89,"300,1550",26.7,Black,280.0
Cooler Master Hyper 212 EVO V2,271.85,"650,1800","8,27",,
Vetroo V360,366.53,"800,1800",,Black,360.0
Vetroo V5,121.28,"800,1700",30.8,Pink,
APNX AP1-V,216.22,"600,1800","16.1,32.8",Black,
Asus ROG RYUO III 240 ARGB,565.5,2200,36.45,Black,240.0
Asus ROG Ryujin III,758.23,"450,2000",29.7,Black,240.0
Lian Li GALAHAD AIO 360 RGB,905.6,"800,1900",,Black / Silver,360.0
be quiet! Pure Loop 280,432.87,,"22.5,38.1",Black,280.0
Corsair iCUE H100i ELITE CAPELLIX,823.23,2400,"10,37",White,240.0
Fractal Design Lumen S36 V2,752.08,"500,2000","10,33.2",Black,360.0
Thermalright Assassin King SE,86.18,1550,25.6,Silver / Gray,
Cooler Master Hyper 212 LED Turbo ARGB,270.77,"650,1800",27,Black,
Cooler Master Hyper 622 Halo,281.56,"650,2050",27,White,
ENDORFY Fera 5 Dual Fan,234.68,"250,1800",,Black / Silver,
EVGA CLCx 360,649.91,,35,Black,360.0
ID-COOLING IS-55 ARGB,151.61,"500,2000",31.2,White,
Phanteks GLACIER ONE 420D30,801.56,"250,1800",29.5,White,420.0
Cooler Master Hyper H410R RGB,189.09,"600,2000","6,29",,
NZXT Kraken X63 RGB,1208.17,"500,1500","22,33",White / Black,280.0
be quiet! Silent Loop 2 240,780.29,2200,"16.8,38.3",Black,240.0
ID-COOLING FROZN A410 ARGB,151.61,"500,2000",29.9,Black,
Deepcool AS500 Plus,194.94,"500,1200",31.5,Black,
ID-COOLING FROZN A620 ARGB,259.94,"500,2000",29.9,Black,
ID-COOLING AURAFLOW X,259.94,"700,1800","18,35.2",Black,240.0
be quiet! Pure Rock Slim,147.28,2000,"13.1,25.4",,
APNX AP1-V,216.22,"600,1800","16.1,32.8",White,
Corsair iCUE H170i ELITE LCD,1256.53,"400,1600","10,31.8",Black,420.0
CRYORIG H7,692.76,"330,1600",25,,
Thermaltake Gravity A2,87.96,"1200,3500",33.5,Silver / Black,
Corsair iCUE LINK H115i RGB,736.57,"400,2000",,Black,280.0
Intel BXTS15A,193.34,"1000,3850",,,
Thermaltake Gravity i3,77.08,"1200,3500",36.5,Silver / Black,
NZXT Kraken X53 RGB,758.23,"500,1500","22,33",White / Black,240.0
Lian Li Galahad AIO240 (2022),743.89,"800,1900",32,Black / Silver,240.0
ID-COOLING SE-224-XTS,129.95,"600,1500",28.9,White,
Montech METAL DT24 PREMIUM,298.98,"800,1950",26,Black / Silver,
Zalman CNPS9X Performa ARGB,108.28,"700,1800",28,Black,
ARCTIC Alpine 12 LP,56.11,"100,2000",,Black / White,
Noctua NH-L12Sx77,324.54,"450,1850","16.8,23.9",Silver / Beige,
Thermaltake TH420 V2 Ultra ARGB Sync,732.23,"500,2000",34.7,Black,420.0
Deepcool AG500 WH ARGB,160.23,"300,1850",29.4,White,
Thermalright Frost Commander 140,155.55,1800,30.2,Gray,
Thermaltake TH120 V2 ARGB Sync,346.55,"500,2000",25.8,Black,120.0
EK EK-Nucleus AIO CR240 Lux D-RGB,554.58,"550,2300",36,White,240.0
be quiet! Shadow Rock 3,207.55,,"11.5,24.4",White / Black,
Cooler Master MasterLiquid ML240 Illusion,559.43,"650,1800","6,30",White,240.0
Gigabyte AORUS WATERFORCE X,796.45,"800,2500","7.9,37.6",Black,240.0
Cooler Master MasterLiquid PL240 FLUX,549.16,,32,Black,240.0
Thermaltake TOUGHLIQUID Ultra,936.75,"500,2500",28.1,Black,360.0
Deepcool AK500S DIGITAL,238.27,"500,1850",28,White,
Jonsbo CR-1000 EVO ARGB Black,112.61,"600,1500","22,32",Black,
Cooler Master MasterAir MA612 Stealth ARGB,311.85,"650,1800","8,27",,
ARCTIC Freezer i35 RGB,144.12,"200,1700",,Black,
Asus ROG Ryujin III,888.22,"600,2200",36.45,White,240.0
Cooler Master Hyper 212 Halo SF6 Ryu,196.02,"650,2050",27,White / Orange,
Corsair A500,389.93,2400,36,Black / Silver,
be quiet! Dark Rock Pro TR4,572.78,"1200,1500","12.8,24.3",Black,
Thermaltake TH280 V2 ARGB Sync,433.26,"500,1800",34.7,Black,280.0
be quiet! Silent Loop 2 280,721.83,1600,"16.5,36.1",Black,280.0
Noctua NH-U9 TR4-SP3,389.75,"400,2000","16.3,22.8",,
Thermaltake TH240 V2 ARGB Sync,389.93,"500,2000",25.8,White,240.0
be quiet! Pure Loop 360,563.25,,"19.8,40.5",Black,360.0
MSI MAG CORELIQUID E240,428.97,,,Black,240.0
Cooler Master i50,73.57,2000,28,Black / Silver,
MSI MAG CORELIQUID E240 WHITE,428.97,,,White,240.0
Corsair iCUE H100i ELITE LCD,941.52,"450,2000","10,30.4",Black,240.0
Noctua NH-U12S SE-AM4,324.76,"300,1500","18.6,22.4",,
Antec A400i,124.53,"800,1800","20,36",Black / Silver,
ID-COOLING FROZN A620 ARGB WHITE,259.94,"500,2000",29.9,White,
Asus TUF Gaming LC II ARGB,389.93,"800,2000",29,Black,240.0
Asus ROG RYUO III 240 ARGB WHITE EDITION,584.91,2200,36.45,White,240.0
Asus ROG STRIX LC II ARGB,649.91,"800,2500",37.6,White / Black,240.0
ID-COOLING FROZN A410 ARGB WHITE,151.61,"500,2000",29.9,White,
ARCTIC Freezer A35 A-RGB,203.61,"200,1700",,Black,
be quiet! Pure Loop 2,389.54,,"15.4,34.9",Black,240.0
ID-COOLING SE-914-XT ARGB,129.95,"600,2200","14,25.8",Black / Gray,
Enermax LIQMAX III 360 ARGB,389.93,"500,1600","14,27",White / Black,360.0
Gelid Solutions Liquid 120,281.56,"750,1800",29.6,Black,120.0
Deepcool LD240,433.26,"600,2400",38.71,Black,240.0
Scythe Mugen 5 Black Edition Rev.C,220.94,"300,1500","4,28.6",Black,
be quiet! Pure Loop 2,432.87,,"15.4,33.8",Black,280.0
Fractal Design Celsius S24,547.69,"500,2000",32.2,,240.0
ID-COOLING FROZN A610 BLACK,173.28,"500,2000",29.85,Black,
ENDORFY Fortis 5,290.92,"250,1400",,Black / Silver,
Gelid Solutions BlackFrore,103.95,"900,2000",20,Black,
Thermaltake TH120 V2 ARGB Sync,346.55,"500,2000",25.8,White,120.0
Thermalright Assassin King 90,103.56,2500,27.3,Black / Silver,
Thermaltake TOUGHLIQUID Ultra,1083.21,"500,2000",33.2,Black,420.0
Cooler Master MasterLiquid ML240R RGB,646.05,"650,2000","6,30",,240.0
Deepcool AS500 PLUS WH,216.61,"500,1200",31.5,White / Silver,
Thermaltake TH120 ARGB Sync,258.85,1500,28.2,Black,120.0
Enermax AQUAFUSION ADV 360,433.26,"500,2000","15,32.6",Black,360.0
Asus ROG Ryujin III ARGB,1018.21,"600,2200",36.45,Black,240.0
Deepcool AN600,242.56,"500,1850","20.4,24.2",Black / Silver,
ID-COOLING SL240,433.26,"500,2000",29.9,White,240.0
ARCTIC Freezer i35 A-RGB,193.99,"200,1700",,Black,
Gelid Solutions Tranquillo Rev. 5,86.57,"900,2000",26.5,Black,
Iceberg Thermal IceSLEET G3,77.91,"600,1200",20.5,Black / Gray,
Enermax LIQMAX III 240 ARGB,303.22,"500,1600","14,27",White / Black,240.0
Fractal Design Lumen S28 RGB V2,857.72,"500,1700","10,35.5",Black,280.0
Noctua NH-D15 SE-AM4,476.41,"1200,1500","19.2,24.6",,
Asus ROG RYUJIN 360,1157.13,"450,2000",29.7,Black,360.0
Deepcool ASSASSIN III,346.55,"400,1400",34.2,Black / Silver,
MSI MEG CORELIQUID S280,714.94,,24.9,Black,280.0
Razer Hanbo Chroma,779.9,,,Black,240.0
Cooler Master MasterLiquid ML240L RGB,515.58,"650,2000","6,30",,240.0
ENDORFY Spartan 5 MAX,166.6,"250,1500",,Black / Silver,
Enermax AQUAFUSION ADV,315.7,"500,2000","15,32.6",White,360.0
ENDORFY Spartan 5 ARGB,162.36,"250,1500",,Black / Silver,
Vetroo U6 Pro,151.61,"700,1500","18.1,30.5",Black,
Cooler Master MasterAir MA612 Stealth,230.17,"650,1800","8,27",,
TEAMGROUP SIREN GD360E,480.92,"600,2200","14.3,35.6",White,360.0
ID-COOLING ZOOMFLOW 360 XT,433.26,"500,1500","13.8,30.5",Black,360.0
Deepcool R-AN600-BKNNMN-G,221.59,"500,1850","20,24.4",Black / Silver,
Cooler Master MasterAir MA624 Stealth,268.65,"650,1400","10,27",Black,
Scythe Mugen 6,203.61,"300,2000","3,26.88",Black,
Silverstone IceMyst 360,631.4,"500,2200","12.1,33.1",Silver / Black,360.0
Lian Li Galahad AIO360 (2022),1083.03,"800,1900",32,White / Silver,360.0
ENDORFY Fera 5 ARGB,251.44,"250,1800",,Black / Silver,
ENDORFY Fortis 5 ARGB,329.44,"250,1400",,Black / Silver,
ID-COOLING PINKFLOW 240 Diamond,433.26,"900,2000","16.3,33.5",Pink,240.0
Alphacool Eisbaer Pro Aurora,1231.53,,31.5,Black,420.0
Noctua NH-U12DXi4,324.76,"300,1500","18.6,22.4",,
Thermaltake TOUGHAIR 310,173.28,"500,2000",23.6,Black / Gray,
Asus ROG STRIX LC 360 RGB White Edition,1083.21,"800,2500",37.6,White,360.0
Thermaltake TH280 V2 ARGB Sync,476.59,"500,1800",34.7,White,280.0
Cooler Master Wraith Ripper,1165.58,,"0,38",Black,
Alphacool Core Ocean T38,434.12,,"0,36",Black,420.0
Thermaltake TH420 V2 ARGB Sync,589.24,"500,1800",34.7,Black,420.0
Gigabyte AORUS ATC800,931.6,"600,2000","18,31",Black,
Thermaltake TOUGHAIR 510,203.61,"500,2000",23.6,Black / Gray,
KOLINK Umbra EX180 Black Edition,184.07,"800,1800",28.6,Black,
Zalman CNPS9X Performa ARGB,86.62,"700,1800",28,White,
Thermalright Silver Soul 135,142.56,1850,29.6,Silver,
ARCTIC Freezer i13 X,86.62,"300,2000",,Black / White,
Cooler Master Hyper 212 LED,207.12,"600,1600","9,31",,
Enermax ETS-T40F-TB,125.61,"900,1800","11,21",,
Corsair H115i PRO,1083.21,1200,20.4,,280.0
Cooler Master Hyper T20,133.2,2000,30,Black / Silver,
Thermaltake TH360 ARGB Sync,450.59,1500,28.2,Black,360.0
ENDORFY Navis F360 ARGB,711.09,"250,1800",,Black,360.0
ID-COOLING FROZN A720 BLACK,303.22,"500,2000",33.5,Black,
Thermaltake TH360 ARGB Sync,441.92,1500,28.2,White,360.0
Geometric Future Eskimo Junior 36,519.53,2000,29,White,360.0
ARCTIC Freezer 4U-M,368.26,"400,2300",40,Black / Silver,
Enermax Liqmax III 240 ARGB,320.6,"500,1600","14,27",Black,240.0
Aerocool Cylon 4,221.85,"800,1800","14,26",Black,
Scythe Kotetsu Mark 3,129.95,"300,1500","4,28.6",Black / Silver,
EVGA CLCx 240,433.26,,35,Black,240.0
Antec VORTEX 240,430.92,"600,2000",31.24,Black,240.0
Cooler Master MasterLiquid 240,541.58,"650,2000","6,30",,240.0
Thermaltake TH360 V2 Ultra ARGB Sync,736.57,"500,1800",25.8,Blue / White,360.0
Fractal Design Lumen S28 V2,679.85,"500,1700","10,35.5",Black,280.0
Amazon Basics,130.21,"600,2000","6,29",,
Asus ROG RYUJIN II,790.73,"450,2000",29.7,Black,240.0
Alphacool Eisbaer Aurora 420,1184.51,"600,1500",,Black,420.0
RAIJINTEK JUNO-X,167.95,"1200,2500",26,Black,
ID-COOLING FROZN A610,216.61,"500,2000",29.9,Black,
ID-COOLING IS-40X,116.95,"600,2500","14,33",Black / White,
Yeston zeaginal Sakura,519.53,"900,1800",30,White,360.0
be quiet! Shadow Rock Slim 2,194.55,1400,"11.5,23.7",Black,
Thermaltake TH120 ARGB Sync,277.27,1500,28.2,White,120.0
ENDORFY Navis F360,659.09,"250,1800",,Black,360.0
Thermaltake TOUGHLIQUID Ultra RGB,1213.2,"500,2000",30.7,Black,420.0
Thermaltake TH280 V2 Ultra ARGB Sync,584.91,"500,2000",34.7,Black,280.0
Enermax ETS-T50 AXE ARGB,199.27,"500,1600","14,24",White,
Gigabyte AORUS WATERFORCE X,866.56,2300,"8.06,44.4",Black,280.0
Antec Symphony ARGB,683.66,"800,1600","20,35",Black,360.0
ARCTIC Freezer 34 eSports,219.64,"200,2100",28,Red / Black,
Iceberg Thermal IceSLEET G6 Stealth,164.61,"600,1400",26,Black / Blue,
Alphacool Core Ocean T38,368.26,,"0,34.3",Black,240.0
Silverstone Hydrogon D120 ARGB V2,310.29,,"0,30.5",Black / Silver,
ENDORFY Spartan 5,152.48,"250,1500",,Black / Silver,
Fractal Design Celsius+ S36 Prisma PWM ARGB,1072.55,"500,2000",32.7,Black,360.0
ENDORFY Fortis 5 Dual Fan,297.81,"250,1400",,Black / Silver,
BitFenix Cube ARGB,432.87,2000,34,White,360.0
Gelid Solutions Liquid 360,433.26,"750,1800",29.6,Black,360.0
Silverstone AR12 RGB,166.47,"700,2200","9,29",Silver / Black,
Corsair H115i,974.84,2000,40,,280.0
ID-COOLING SL240,433.26,"500,2000",29.9,Black,240.0
MSI MPG CORELIQUID K240,727.94,,"0,39.9",Black,240.0
Cooler Master MasterLiquid ML120R RGB,541.58,"650,2000","6,30",,120.0
Corsair H100,1328.63,"1300,2500","22,39",,240.0
Cooler Master MA621P TR4,2700.46,"600,1800",31,Black / Silver,
CRYORIG H7 Quad Lumi,473.73,"330,1600","10,25",,
BitFenix Cube ARGB,432.87,2000,34,Black,360.0
Jonsbo CR-1400 EVO ARGB Black,182.85,"800,2200","22.3,33.8",Black,
be quiet! Pure Loop 2,346.21,,"13,32.1",Black,120.0
Scythe Ninja 5 Rev. B,281.56,"300,800","4,14.5",Black,
Alphacool Eisbaer Aurora 360,917.04,"800,2000",,Black,360.0
ENDORFY Navis F240,518.05,"250,1800",,Black,240.0
Enermax LIQMAXFLO 360,349.85,"500,1800",23.46,Black,360.0
Thermaltake TH240 V2 Ultra ARGB Sync,649.91,"500,1800",25.8,White,240.0
Thermaltake TH420 V2 ARGB Sync,589.24,"500,1800",34.7,White,420.0
Enermax Liqmax III 120 HF,235.37,"500,2000","14,32",Black,120.0
TEAMGROUP SIREN GD360E,476.59,"600,2200","14.3,35.6",Black,360.0
Thermaltake Contac Silent 12,129.95,"400,1500","22.1,28.8",,
Deepcool GAMMAXX L240 A-RGB,1385.74,"500,1800",30,Black,240.0
Enermax AQUAFUSION ADV,342.26,"500,2000","17,32.6",White,240.0
Thermaltake TH240 V2 Ultra ARGB Sync,589.24,"500,1800",25.8,Black,240.0
EVGA CLC 240,617.45,"500,2400","16,39.9",,240.0
ID-COOLING DASHFLOW XT LITE,346.55,"500,2000",29.85,Black,360.0
Thermaltake TH420 ARGB Sync,823.18,"500,1800",34.7,Black,420.0
LC-Power LC-CC-120-RGB,200.75,"800,1800",,Black,
Jonsbo HX4170D,741.03,"600,3300",28.4,White,
Cooler Master MasterAir MA620M,653.85,"650,2000","8,30",Black,
Antec A40PRO,205.12,"800,2200","16,23",,
ARCTIC Freezer A35,182.98,"200,1800",,Black / White,
Iceberg Thermal IceFLOE OASIS 240,346.55,"200,2200",28.9,Black,240.0
Cooler Master i70C,96.63,"650,1800",28,Black / Silver,
Thermaltake TH240 ARGB Sync,524.77,1500,28.2,White,240.0
Thermaltake TH280 V2 ARGB Sync,476.59,"500,1800",25.8,Green,280.0
Thermaltake TOUGHAIR 110,151.61,"500,2000",23.6,Black / Silver,
MSI MAG CORELIQUID R,401.06,"500,2000","14.3,34.3",Black,240.0
be quiet! Pure Loop 120,434.69,,"18.9,36.1",Black,120.0
Deepcool LS320,389.93,"500,2250",32.9,Black,120.0
Montech AIR COOLER 210,326.32,"600,1500",27,Black,
Deepcool AG500 ARGB,222.15,"300,1850",29.4,Black / Silver,
Enermax ETS-N31-02,90.91,"800,2000",24.5,Black / Silver,
Cooler Master MasterAIR G200P,342.22,"800,2000","6,28",Black / Silver,
Silverstone IceMyst 420,706.24,"400,1750","13.3,30.8",Silver / Black,420.0
Antec Symphony ARGB,635.35,"800,1600","20,35",Black,240.0
Alphacool Eisbaer 420,736.18,1100,29.4,Black / Blue,420.0
Cooler Master MasterLiquid ML360 Mirror,1078.92,"650,1800","8,27",Black,360.0
Corsair H100i GTX,1181.35,2435,37.7,,240.0
Thermaltake TH420 ARGB Sync,588.38,"500,1800",34.7,White,420.0
ARCTIC Freezer i35,168.94,"200,1800",,Black / White,
Montech METAL DT24 BASE,216.61,"800,1950",26,Black / Silver,
Asus ROG STRIX LC 120 RGB,833.5,"800,2500",37.6,Black,120.0
Thermaltake UX200 ARGB,164.61,"300,1500",26.33,Black,
Silverstone VIDA 240 SLIM,550.25,"300,1800","15.9,33.9",Black,240.0
BitFenix Cube ARGB,346.21,2000,34,Black,240.0
be quiet! Shadow Rock TF 2,394.52,1400,"11.9,24.4",Silver / Black,
Corsair H75 2018,617.32,1900,31,Black,120.0
Jonsbo CR-1400 EVO Color Black,107.81,"800,2200","22.3,33.8",Black,
Alphacool Eisbaer 360,678.5,"550,1700",29,Black,360.0
Dynatron R24,173.1,"1500,7000","16,47.5",,
Iceberg Thermal IceSLEET G4 Silent,86.57,"600,1200",20.5,Black / Gray,
MSI MAG CORELIQUID R,612.12,"500,1800","14.8,33.28",Black,280.0
Deepcool LS320 WH,281.86,"500,2250",32.9,White,120.0
Thermaltake TOUGHLIQUID Ultra,866.56,"500,2500",28.1,Black,240.0
Jonsbo CR-3000 ARGB,214.27,"600,1500","22,32",White,
ARCTIC Alpine 12 CO,90.21,"100,2700",,Black / Gray,
Deepcool AK620 ZERO DARK ZORIA,413.58,"500,1850",28,Orange / Black,
Asus ROG Ryujin 240 RGB AIO,996.59,"450,2000",29.7,Black,240.0
MSI MPG CORELIQUID D240,732.28,,,Black,240.0
Jonsbo CR-1000 EVO ARGB White,112.61,"600,1500","22,32",White,
Asus ROG STRIX LC 240 RGB White Edition,801.56,"800,2500",37.6,White,240.0
Silverstone NT09-115X,66.25,"550,2500","18.5,32",,
Gelid Solutions Liquid 240,368.09,"750,1800",29.6,Black,240.0
Cooler Master MasterAir MA410M,416.96,"650,1800","6,31",Black,
MSI MPG CORELIQUID K240 V2,732.19,,39.9,Black,240.0
Mars Gaming MCPU-XT,279.39,"800,1600","9,26",Black,
be quiet! Silent Loop 2 120,577.07,2200,"16.6,36.4",Black,120.0
Cooler Master MasterAir MA610P ARGB,487.59,"650,1800","8,27",,
Thermaltake Floe Riing RGB 360 TT Premium Edition,651.73,"500,1400","19.8,24.7",,360.0
Thermaltake TOUGHAIR 710,411.55,"300,1400","18.5,23.9",Black,
Thermaltake Floe DX RGB 240 TT Premium Edition,500.89,"500,1500","19,23.9",Black / Gray,240.0
Thermaltake TH280 V2 Ultra ARGB Sync,693.24,"500,2000",34.7,White,280.0
Cooler Master i70,86.57,1800,28,Black / Silver,
Iceberg Thermal IceSLEET X5,129.95,"500,1850","0,36",Teal / Silver,
Silverstone Krypton KR01,142.95,"800,3000",33,Black / Silver,
ID-COOLING SE-224-XTS,129.95,"600,1500",28.9,Black / Silver,
Thermaltake CLP0556,80.16,"1900,2300",22,,
Thermaltake UX 210 ARGB,216.61,"600,2000",34.3,Black / Silver,
ID-COOLING FROZN A610 ARGB WHITE,216.61,"500,2000",29.9,White,
Enermax AQUAFUSION ADV 240,303.27,"500,2000","15,32.6",Black,240.0
ARCTIC Freezer A13 X,134.32,"300,2000",,Black / White,
Cooler Master Hyper 212 LED Turbo (Red),255.82,"300,1600","9,31",,
ARCTIC Freezer 34 CO,173.28,"200,1800",,Black / Silver,
Silverstone Krypton KR02,168.94,"800,2800","13.6,34.8",Black / Silver,
Dynatron K129,190.35,,0,Orange,
Alphacool Eisbaer LT240,519.53,"550,1700",29,Black,240.0
Cooler Master MasterAir MA410P,216.61,"650,2000","6,30",,
Silverstone Hydrogon D120 ARGB,457.52,,"0,30.5",Black / Silver,
Fractal Design Celsius+ S24 Prisma PWM ARGB,798.05,"500,2000",32.7,Black,240.0
Enermax LIQMAXFLO SR 360,428.92,"500,1800",23.46,Black,360.0
Cooler Master MASTERLIQUID PL240 FLUX,598.13,,32,White,240.0
Jonsbo HX6200D,207.98,"700,1800","18.6,29.7",White,
Enermax LIQMAXFLO 240,316.22,"500,1800",23.46,Black,240.0
ADATA XPG LEVANTE 360,693.24,"600,2000",34,Black,360.0
Gigabyte AORUS WATERFORCE X II 240AORUS WATERFORCE X II 240,996.55,"800,2400","12,37.5",Black,240.0
KOLINK Umbra Void,447.51,2200,30,Black,240.0
Asus ROG RYUO 240 RGB,823.18,"800,2500",37,Black,240.0
Jonsbo CR-3000 ARGB,214.27,"600,1500","22,32",Black / Silver,
Asus ROG RYUO 120 RGB,1035.59,"800,2500",37,Black,120.0
Cooler Master Hyper TX3 EVO,371.42,"800,2800","17,35",,
Enermax ETS-N30R-HE,113.22,"600,2800","12,28",,
TEAMGROUP SIREN GD240E,437.55,"600,2200","14.3,35.6",White,240.0
RAIJINTEK PALLAS 120,129.95,"200,1400",28.43,Black,
Enermax ETS-F40-FS,173.28,"300,1200","10,23",Black,
Dynatron R25,160.32,"1000,7000","21.5,59.14",,
Cougar FORZA 85,195.42,"600,2000",34.5,Black,
Alphacool Core Ocean T38,318.69,,"0,34.3",Black,120.0
Enermax LIQMAX III RGB,226.49,"500,1600","14,27",Black,120.0
Yeston zeaginal Sakura,432.87,"900,1800",30,White,240.0
StarTech FAN1156PWM,98.36,"1000,3000",33,,
Silverstone AR12-TUF,199.27,"300,2200","6.2,34.4",Black / Orange,
Iceberg Thermal IceSLEET X7 Dual,164.61,"500,1850","0,38",Teal / Silver,
Cooler Master MasterAir G100M RGB,187.4,"600,2400",30,Black / Multicolor,
Azza CUBE 240,346.55,"500,2000",34,Black,240.0
Deepcool GAMMAXX GT V2,173.28,"500,1650",27.8,Black / Silver,
Cougar FORZA 135,454.92,"500,1500",38.5,Black / Silver,
Enermax LIQMAXFLO SR 240,389.93,"500,1800",23.46,Black,240.0
Noctua NH-U12S TR4-SP3,389.54,"300,1500","18.6,22.4",,
Thermalright Le Grand Macho RT,285.11,"300,1300","14,20",,
ARCTIC Freezer A35 CO,168.94,"200,1800",,Black / Silver,
Jonsbo CR-1000 EVO Color White,108.28,"600,1500","22,32",White,
Asus ROG STRIX LC 240 RGB,736.57,"800,2500",37.6,Black,240.0
Cooler Master Hyper 212 LED White Edition,277.79,"600,1600","9,31",,
BitFenix Cube ARGB,346.21,2000,34,White,240.0
EVGA CLCx 280,1004.82,,35,Black,280.0
Thermaltake Water 3.0 Riing RGB 280,571.09,"300,1500","18.5,26.4",Black / Red,280.0
ENDORFY Navis F240 ARGB,610.61,"250,1800",,Black,240.0
CRYORIG C7 Cu,359.64,"600,2500",30,White / Orange,
Thermaltake TOUGHLIQUID ARGB,606.58,"500,2000",22.3,Black,360.0
Alphacool Eisbaer Extreme,1593.24,1000,18.8,Black,280.0
Iceberg Thermal IceSLEET X9 Dual TR,186.28,"500,1850","0,38",Teal / Silver,
Enermax ETS-F40-FS,173.28,"300,1200","10,23",White,
Thermaltake TOUGHLIQUID Ultra,840.56,"500,2000",33.2,Black,280.0
GAMDIAS CHIONE M2,303.22,"800,1800",,Black,240.0
Corsair H110i GT,1051.66,2100,43,,280.0
Cooler Master Hyper 212X EU Version,376.97,"600,1700","13,28.6",,
Jonsbo HX7280,662.91,"700,1800","28,38",Black,
Alphacool Eisbaer Aurora 240,663.64,"800,2000",,Black,240.0
Thermaltake TOUGHAIR 510,243.99,"500,1200",23.6,Green,
Thermalright Macho Rev.B,277.18,"300,1300","15,21",,
GAMDIAS BOREAS P1-720,303.22,"800,2000","10,31",Black,
be quiet! Shadow Rock 2,463.63,1600,"15.3,25.4",,
ARCTIC Freezer i35 CO,199.27,"200,1800",,Black / Silver,
Enermax LIQMAXFLO 420,563.25,"500,1700",25.47,Black,420.0
CRYORIG M9 Plus,278.31,"600,2200",26.4,Black / Silver,
EK AIO Elite 280 D-RGB,494.53,"550,2200",36.4,Black,280.0
ARCTIC Freezer A35 RGB,161.97,"200,1700",,Black,
Silverstone IceMyst 280,532.92,"400,1750","13.3,30.8",Silver / Black,280.0
ARCTIC Liquid Freezer II 240 RGB,509.3,"200,1800",22.5,Black / Gray,240.0
Geometric Future Eskimo Junior 36,519.53,2000,29,Black,360.0
YEYIAN VATN ARGB 360,476.59,"800,2000","25,32",Black,360.0
ARCTIC Freezer 34 eSports DUO,254.52,"200,2100",24.4,Yellow / Black,
ARCTIC Freezer 50 (w/Controller),325.97,"200,1800",,Black,
Enermax LIQTECH TR4 II 360,769.11,"500,2300","14,28",Black,360.0
Thermaltake Floe Riing RGB 280 TT Premium Edition,259.94,"500,1400","19.8,27.2",,280.0
