name,price,capacity,price_per_gb,type,cache,form_factor,interface
MSI SPATIUM M371,281.6,1000.0,0.065,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue,281.56,2000.0,0.032,7200,256.0,3.5,SATA 6.0 Gb/s
Patriot P300,95.28,256.0,0.086,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Crucial T700,1169.87,2000.0,0.135,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Corsair MP600 PRO NH,4246.3,8000.0,0.122,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP T-Force Vulcan Z,246.94,1000.0,0.057,SSD,,2.5,SATA 6.0 Gb/s
Samsung 990 EVO,675.9,2000.0,0.078,SSD,,M.2-2280,M.2 PCIe 5.0 X2
Crucial MX500,380.18,1000.0,0.088,SSD,1024.0,2.5,SATA 6.0 Gb/s
Leven JS600,60.62,128.0,0.109,SSD,,2.5,SATA 6.0 Gb/s
Crucial P3 Plus,236.11,500.0,0.109,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Green SN350,281.56,1000.0,0.065,SSD,,M.2-2280,M.2 PCIe 3.0 X4
MSI SPATIUM M570 HS,866.56,2000.0,0.1,SSD,4096.0,M.2-2280,M.2 PCIe 5.0 X4
Patriot P300,160.28,512.0,0.072,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Lexar NM790,395.95,1000.0,0.091,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Kingston KC3000,433.26,1024.0,0.098,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue SN570,303.27,1000.0,0.07,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Crucial P5 Plus,835.27,2000.0,0.096,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue SN570,190.35,500.0,0.088,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Lexar NM620,309.59,1000.0,0.071,SSD,,M.2-2280,M.2 PCIe 3.0 X4
VisionTek QLC,6499.46,8000.0,0.187,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Acer Predator GM7000,368.26,1000.0,0.085,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Seagate BarraCuda,121.32,1000.0,0.028,7200,64.0,3.5,SATA 6.0 Gb/s
Sabrent Rocket 5,3163.05,4000.0,0.182,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Samsung 980 Pro w/Heatsink,795.32,2000.0,0.092,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro w/Heatsink,823.23,2000.0,0.095,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital WD_BLACK,606.58,4000.0,0.035,7200,256.0,3.5,SATA 6.0 Gb/s
