name,price,capacity,price_per_gb,type,cache,form_factor,interface
TEAMGROUP CX2,446.26,2000.0,0.051,SSD,,2.5,SATA 6.0 Gb/s
Seagate BarraCuda,353.14,2000.0,0.041,5400,128.0,2.5,SATA 6.0 Gb/s
Toshiba P300,308.25,1000.0,0.071,7200,64.0,3.5,SATA 6.0 Gb/s
Patriot P310,95.28,240.0,0.092,SSD,,M.2-2280,M.2 PCIe 3.0 X4
ADATA XPG SX8200 Pro,502.63,2000.0,0.058,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Crucial T700 W/Heatsink,1256.53,2000.0,0.145,SSD,,M.2-2280,M.2 PCIe 5.0 X4
ADATA SU630,132.03,240.0,0.127,SSD,,2.5,SATA 6.0 Gb/s
Crucial P5 Plus W/Heatsink,747.31,2000.0,0.086,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP600 PRO LPX,714.9,2000.0,0.082,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate FireCuda 540,1343.19,2000.0,0.155,SSD,,M.2-2280,M.2 PCIe 5.0 X4
TEAMGROUP Cardea A440,621.18,2000.0,0.072,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Sabrent Rocket 5,1473.18,2000.0,0.17,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Western Digital Blue,411.59,6000.0,0.016,5400,64.0,3.5,SATA 6.0 Gb/s
Seagate BarraCuda Pro,940.26,10000.0,0.022,7200,256.0,3.5,SATA 6.0 Gb/s
Sabrent Rocket 4 Plus,519.92,1000.0,0.12,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Kingston NV1,324.89,1000.0,0.075,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Toshiba MQ01ABD032,44.89,320.0,0.032,5400,8.0,2.5,SATA 3.0 Gb/s
Corsair MP600 PRO XT,762.56,2000.0,0.088,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Lexar NM790 w/Heatsink,368.26,1000.0,0.085,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital WD_BLACK,246.94,1000.0,0.057,7200,64.0,3.5,SATA 6.0 Gb/s
Leven JPS600,255.6,1000.0,0.059,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Patriot Burst Elite,216.61,960.0,0.052,SSD,,2.5,SATA 6.0 Gb/s
HP FX900 Pro,584.91,2000.0,0.067,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Inland TN470,597.91,2000.0,0.069,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate FireCuda 530,498.3,1000.0,0.115,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Leven JS600,233.94,1000.0,0.054,SSD,,2.5,SATA 6.0 Gb/s
Samsung 860 Evo,373.2,250.0,0.345,SSD,512.0,2.5,SATA 6.0 Gb/s
Western Digital WD_BLACK,476.59,6000.0,0.018,7200,128.0,3.5,SATA 6.0 Gb/s
Western Digital Blue SA510,593.06,2000.0,0.068,SSD,,2.5,SATA 6.0 Gb/s
Inland Performance Plus,329.22,1000.0,0.076,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate Momentus 5400.6,95.28,500.0,0.044,5400,8.0,2.5,SATA 3.0 Gb/s
FanXiang S880,346.55,1000.0,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Patriot P210,134.28,512.0,0.061,SSD,,2.5,SATA 6.0 Gb/s
Mushkin Vortex Redline,593.58,2000.0,0.068,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue SA510,1177.28,4000.0,0.068,SSD,,2.5,SATA 6.0 Gb/s
PNY CS900,303.27,1000.0,0.07,SSD,,2.5,SATA 6.0 Gb/s
Seagate FireCuda,433.26,4000.0,0.025,7200,256.0,3.5,SATA 6.0 Gb/s
Sabrent Rocket 4 Plus,2166.46,4000.0,0.125,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Red Plus,866.56,10000.0,0.02,7200,256.0,3.5,SATA 6.0 Gb/s
Mushkin Helix-L,268.6,1000.0,0.062,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Crucial T705 W/Heatsink Limited Edition,1503.51,2000.0,0.173,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Samsung 860 Pro,4766.26,4000.0,0.275,SSD,4096.0,2.5,SATA 6.0 Gb/s
TEAMGROUP MP33 PRO,177.61,512.0,0.08,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP MS30,472.25,2000.0,0.054,SSD,,M.2-2280,M.2 SATA
Kingston KC3000,1637.83,4096.0,0.092,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial BX500,164.61,480.0,0.079,SSD,,2.5,SATA 6.0 Gb/s
Mushkin Tempest,298.89,1000.0,0.069,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate FireCuda 530,953.04,2000.0,0.11,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Inland TN470,355.26,1000.0,0.082,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP Cardea A440,346.55,1000.0,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Gigabyte Gen3 2500E,396.69,1000.0,0.092,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Gigabyte AORUS Gen5 12000,1169.87,2000.0,0.135,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Western Digital Green SN350,125.61,240.0,0.121,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Samsung 960 Evo,377.23,250.0,0.348,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4
Corsair MP600 PRO LPX,433.26,1000.0,0.1,SSD,,M.2-2280,M.2 PCIe 4.0 X4
SanDisk SSD PLUS,129.95,240.0,0.125,SSD,,2.5,SATA 6.0 Gb/s
Western Digital WD_BLACK,779.9,8000.0,0.022,7200,128.0,3.5,SATA 6.0 Gb/s
TEAMGROUP QX,857.89,4000.0,0.049,SSD,,2.5,SATA 6.0 Gb/s
Sabrent Rocket 5,823.23,1000.0,0.19,SSD,,M.2-2280,M.2 PCIe 5.0 X4
MSI SPATIUM M480 PRO,1234.9,4000.0,0.071,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate BarraCuda,365.49,3000.0,0.028,7200,64.0,3.5,SATA 6.0 Gb/s
Western Digital Green,223.37,240.0,0.215,SSD,,2.5,SATA 6.0 Gb/s
Patriot P210,424.59,2000.0,0.049,SSD,,2.5,SATA 6.0 Gb/s
Corsair MP600 PRO NH,693.24,2000.0,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Leven JS600,129.95,512.0,0.059,SSD,,2.5,SATA 6.0 Gb/s
Samsung 860 Evo,1104.92,2000.0,0.128,SSD,2048.0,2.5,SATA 6.0 Gb/s
Verbatim Vi5000,340.14,1000.0,0.079,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN850,489.59,1000.0,0.113,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP AX2,238.27,1000.0,0.055,SSD,,2.5,SATA 6.0 Gb/s
Lexar NM710,151.61,500.0,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP600 ELITE,693.24,2000.0,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Intel 670p,645.62,2000.0,0.074,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Samsung 970 Pro,866.56,512.0,0.391,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4
Seagate IronWolf Pro NAS,996.55,12000.0,0.019,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate FireCuda,541.62,2000.0,0.062,,,2.5,SATA 6.0 Gb/s
Kingston NV1,212.27,500.0,0.098,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Inland Performance Plus,3890.99,8000.0,0.112,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial T705 W/Heatsink,1364.85,2000.0,0.157,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Corsair MP600 ELITE,389.93,1000.0,0.09,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Red Plus,433.26,4000.0,0.025,5400,256.0,3.5,SATA 6.0 Gb/s
ADATA XPG SX8200 Pro,247.67,512.0,0.112,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP MP44,3683.01,8000.0,0.106,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Red Pro,1615.99,20000.0,0.019,7200,512.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf Pro,1039.92,14000.0,0.017,7200,256.0,3.5,SATA 6.0 Gb/s
MSI SPATIUM M461,1159.94,4000.0,0.067,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN750,324.89,500.0,0.15,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Gigabyte AORUS Gen4 7000s,400.5,1000.0,0.092,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power XS70,649.91,2000.0,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4
ADATA XPG SPECTRIX S40G RGB,356.26,1000.0,0.082,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Crucial T500 W/Heatsink,697.57,2000.0,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 980 Pro,563.25,250.0,0.52,SSD,512.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN850,363.97,500.0,0.168,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate BarraCuda,99.62,500.0,0.046,7200,16.0,3.5,SATA 6.0 Gb/s
TEAMGROUP EX2,463.59,2000.0,0.053,SSD,,2.5,SATA 6.0 Gb/s
Crucial T500,316.27,500.0,0.146,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP T-Force Cardea Z540,619.58,1000.0,0.143,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Solidigm P41 Plus,207.51,500.0,0.096,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate EXOS Enterprise,1429.85,16000.0,0.021,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital Red Plus,736.57,8000.0,0.021,5640,128.0,3.5,SATA 6.0 Gb/s
FanXiang S880,563.25,2000.0,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue SN570,173.28,250.0,0.16,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital SE,186.23,2000.0,0.021,7200,64.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf NAS,974.88,14000.0,0.016,7200,256.0,3.5,SATA 6.0 Gb/s
MSI SPATIUM M460,316.27,1000.0,0.073,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital AV-GP,173.28,2000.0,0.02,5400,64.0,3.5,SATA 6.0 Gb/s
Samsung 860 QVO,536.9,1000.0,0.124,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Red Plus,368.26,3000.0,0.028,5400,256.0,3.5,SATA 6.0 Gb/s
Crucial T500 W/Heatsink,389.93,1000.0,0.09,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate Barracuda Compute,281.56,2000.0,0.032,7200,256.0,3.5,SATA 6.0 Gb/s
Silicon Power A55,259.94,1000.0,0.06,SSD,,M.2-2280,M.2 SATA
Seagate IronWolf Pro,1248.42,16000.0,0.018,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf NAS,989.87,12000.0,0.019,7200,256.0,3.5,SATA 6.0 Gb/s
Mushkin Helix-L,463.59,2000.0,0.053,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital VelociRaptor,220.94,1000.0,0.051,10000,64.0,2.5,SATA 6.0 Gb/s
Western Digital WD_BLACK,844.89,6000.0,0.032,7200,256.0,3.5,SATA 6.0 Gb/s
SK Hynix Gold P31,649.91,2000.0,0.075,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Timetec 35TTFP6PCIE,259.94,1000.0,0.06,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Intel 670p,224.88,512.0,0.101,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP T-Force Cardea Z540,1070.21,2000.0,0.123,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Samsung 970 Pro,1702.83,1000.0,0.393,SSD,1024.0,M.2-2280,M.2 PCIe 3.0 X4
Corsair MP700 PRO w/Heatsink,1213.2,2000.0,0.14,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Seagate BarraCuda Pro Compute,259.94,1000.0,0.06,7200,128.0,2.5,SATA 6.0 Gb/s
TEAMGROUP QX,420.26,2000.0,0.048,SSD,,2.5,SATA 6.0 Gb/s
Samsung 970 Evo,1078.87,2000.0,0.124,SSD,2048.0,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue,220.94,1000.0,0.051,7200,64.0,3.5,SATA 6.0 Gb/s
Samsung 960 Pro,2989.55,2000.0,0.345,SSD,2048.0,M.2-2280,M.2 PCIe 3.0 X4
Intel Optane P1600X,307.56,118.0,0.602,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Red Pro,1815.48,22000.0,0.019,7200,512.0,3.5,SATA 6.0 Gb/s
Samsung 850 Evo,559.95,1000.0,0.129,SSD,,2.5,SATA 6.0 Gb/s
Samsung 850 Pro,911.14,1000.0,0.21,SSD,,2.5,SATA 6.0 Gb/s
Crucial P2,528.58,2000.0,0.061,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Crucial P5 Plus W/Heatsink,407.26,1000.0,0.094,SSD,,M.2-2280,M.2 PCIe 4.0 X4
VisionTek 901414,6786.34,8000.0,0.196,SSD,,2.5,SATA 6.0 Gb/s
Seagate Barracuda Compute,368.26,4000.0,0.021,5400,256.0,3.5,SATA 6.0 Gb/s
Seagate Exos X22,2079.8,22000.0,0.022,7200,512.0,3.5,SATA 6.0 Gb/s
ADATA Ultimate SU650,69.28,120.0,0.133,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Blue SA510,374.59,1000.0,0.086,SSD,,2.5,SATA 6.0 Gb/s
Mushkin Tempest,446.26,2000.0,0.051,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Red Plus,552.11,6000.0,0.021,5400,256.0,3.5,SATA 6.0 Gb/s
Seagate FireCuda,645.62,2000.0,0.074,,64.0,3.5,SATA 6.0 Gb/s
Western Digital WD Blue,216.61,1000.0,0.05,5400,64.0,3.5,SATA 6.0 Gb/s
Western Digital Black AN1500,1581.67,4000.0,0.091,SSD,,PCIe,PCIe x8
Samsung 860 Evo,1643.25,4000.0,0.095,SSD,4096.0,2.5,SATA 6.0 Gb/s
Seagate Barracuda Compute,342.31,3000.0,0.026,5400,256.0,3.5,SATA 6.0 Gb/s
Silicon Power P34A60,121.28,256.0,0.109,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Toshiba MG10 512e,1468.89,20000.0,0.017,7200,512.0,3.5,SATA 6.0 Gb/s
Western Digital Black SN750,2801.2,4000.0,0.162,SSD,,M.2-2280,M.2 PCIe 3.0 X4
SanDisk SSD PLUS,541.58,2000.0,0.062,SSD,,2.5,SATA 6.0 Gb/s
TEAMGROUP T-Force Vulcan Z,90.95,256.0,0.082,SSD,,2.5,SATA 6.0 Gb/s
ADATA Legend 710,318.17,1000.0,0.073,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Red Pro,1414.9,18000.0,0.018,7200,512.0,3.5,SATA 6.0 Gb/s
Crucial T700 W/Heatsink,745.23,1000.0,0.172,SSD,,M.2-2280,M.2 PCIe 5.0 X4
ADATA Legend 960,709.75,2000.0,0.082,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power XS70,389.93,1000.0,0.09,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Mushkin Gamma,3683.01,8000.0,0.106,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 960 Evo,606.58,500.0,0.28,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4
Samsung 970 Evo,398.64,250.0,0.368,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4
Gigabyte GP-GSTFS31480GNTD,186.45,480.0,0.09,SSD,,2.5,SATA 6.0 Gb/s
Corsair MP600 PRO XT,450.59,1000.0,0.104,SSD,,M.2-2280,M.2 PCIe 4.0 X4
PNY CS1030,160.28,500.0,0.074,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Silicon Power US75,337.89,1000.0,0.078,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP CX2,238.27,1000.0,0.055,SSD,,2.5,SATA 6.0 Gb/s
Corsair MP600 Force Series Gen4,904.08,1000.0,0.209,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Intel P3700,8016.05,1600.0,1.156,SSD,,PCIe,PCIe x4
Patriot Burst Elite,77.91,240.0,0.075,SSD,,2.5,SATA 6.0 Gb/s
TEAMGROUP MS30,103.95,256.0,0.094,SSD,,M.2-2280,M.2 SATA
ADATA XPG SPECTRIX S40G RGB,240.13,512.0,0.108,SSD,,M.2-2280,M.2 PCIe 3.0 X4
HP FX900 Pro,368.26,1000.0,0.085,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Green,312.06,1000.0,0.072,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Gold,1933.34,22000.0,0.02,7200,512.0,3.5,SATA 6.0 Gb/s
Gigabyte GP-GSM2NE3256GNTD,159.41,256.0,0.144,SSD,,M.2-2280,M.2 PCIe 3.0 X4
SanDisk SSD PLUS,189.7,480.0,0.091,SSD,,2.5,SATA 6.0 Gb/s
Western Digital PC SN730,194.98,512.0,0.088,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Solidigm P44 Pro,294.38,512.0,0.133,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Intel 660p,376.93,512.0,0.17,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate Surveillance HDD,1331.83,8000.0,0.038,7200,256.0,3.5,SATA 6.0 Gb/s
TEAMGROUP MP33 PRO,480.92,2000.0,0.055,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate BarraCuda,576.16,6000.0,0.022,5400,256.0,3.5,SATA 6.0 Gb/s
AGI AI198,190.65,512.0,0.086,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Lexar NM790 w/Heatsink,649.91,2000.0,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4
SanDisk Ultra 3D,1083.21,4000.0,0.062,SSD,,2.5,SATA 6.0 Gb/s
Seagate BarraCuda,277.27,1000.0,0.064,5400,128.0,2.5,SATA 6.0 Gb/s
Western Digital Blue,381.26,2000.0,0.044,5400,256.0,3.5,SATA 6.0 Gb/s
ADATA LEGEND 850 LITE,489.59,2000.0,0.056,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate BarraCuda Q5,532.96,2000.0,0.062,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Black SN850,1018.21,2000.0,0.117,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate IronWolf Pro NAS,1338.85,18000.0,0.017,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate Exos X18,1234.86,16000.0,0.018,7200,256.0,3.5,SATA 6.0 Gb/s
ADATA LEGEND 840,194.94,512.0,0.088,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate IronWolf NAS,962.4,10000.0,0.022,7200,256.0,3.5,SATA 6.0 Gb/s
ADATA XPG GAMMIX S60 Blade,316.27,1000.0,0.073,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP T-Create Classic DL,298.89,1000.0,0.069,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate FireCuda 520,258.03,500.0,0.119,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial T705 W/Heatsink,844.89,1000.0,0.195,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Corsair MP600 PRO LPX,714.9,2000.0,0.082,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 850 Pro,672.7,256.0,0.606,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Red Pro,1382.18,16000.0,0.02,7200,256.0,3.5,SATA 6.0 Gb/s
TEAMGROUP GX2,268.6,1000.0,0.062,SSD,,2.5,SATA 6.0 Gb/s
Crucial P5,519.92,1000.0,0.12,SSD,,M.2-2280,M.2 PCIe 3.0 X4
ADATA LEGEND 850 LITE,298.89,1000.0,0.069,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP600 GS,363.93,1000.0,0.084,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate EXOS Enterprise,350.97,4000.0,0.02,7200,128.0,3.5,SATA 6.0 Gb/s
PNY CS2241,563.25,2000.0,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Intel 660p,324.76,1000.0,0.075,SSD,,M.2-2280,M.2 PCIe 3.0 X4
ADATA SU630,245.94,480.0,0.118,SSD,,2.5,SATA 6.0 Gb/s
Kingston SSDNow V300,194.94,120.0,0.375,SSD,,2.5,SATA 6.0 Gb/s
Seagate BarraCuda,103.69,500.0,0.048,5400,32.0,3.5,SATA 6.0 Gb/s
Lexar NS100,363.93,512.0,0.164,SSD,,2.5,SATA 6.0 Gb/s
Western Digital WD_BLACK SN850P for PS5,548.04,1000.0,0.126,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate SkyHawk Surveillance,389.93,4000.0,0.022,7200,256.0,3.5,SATA 6.0 Gb/s
Transcend 110S,108.28,128.0,0.195,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Gigabyte AORUS Gen4,732.28,1000.0,0.169,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Caviar Green,229.61,1000.0,0.053,5400,64.0,3.5,SATA 6.0 Gb/s
Intel DC P3600,8016.05,800.0,2.312,SSD,,PCIe,PCIe x4
Hitachi Ultrastar He8,4709.97,8000.0,0.136,7200,128.0,3.5,SATA 6.0 Gb/s
Seagate FireCuda 530,3583.39,4000.0,0.207,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power A55,151.61,512.0,0.068,SSD,,M.2-2280,M.2 SATA
Western Digital Blue,799.18,2000.0,0.092,SSD,,2.5,SATA 6.0 Gb/s
ADATA LEGEND 960 MAX,389.93,1000.0,0.09,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Verbatim Vi3000,499.46,2000.0,0.058,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Corsair MP600 GS,862.22,2000.0,0.099,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Inland TN450,203.61,500.0,0.094,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Patriot Viper VP4300 Lite,996.55,4000.0,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Verbatim Vi550,181.9,512.0,0.082,SSD,,2.5,SATA 6.0 Gb/s
ADATA XPG SX6000 Pro,135.06,256.0,0.122,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate Exos X20,1364.9,18000.0,0.018,7200,256.0,3.5,SATA 6.0 Gb/s
Gigabyte AORUS Gen5 12000,693.19,1000.0,0.16,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Crucial P1,321.6,500.0,0.148,SSD,,M.2-2280,M.2 PCIe 3.0 X4
KIOXIA EXCERIA,387.8,500.0,0.179,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate Enterprise,645.62,8000.0,0.019,7200,256.0,3.5,SATA 6.0 Gb/s
PNY CS2241,294.6,1000.0,0.068,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate IronWolf NAS,428.45,4000.0,0.025,5900,64.0,3.5,SATA 6.0 Gb/s
Patriot P400 Lite,387.07,1000.0,0.089,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Verbatim Vi5000,582.53,2000.0,0.067,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Kingston Fury Renegade,340.05,500.0,0.157,SSD,,M.2-2280,M.2 PCIe 4.0 X4
KingSpec XG7000 PRO,389.93,1000.0,0.09,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue,216.61,250.0,0.2,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Blue,377.84,1000.0,0.087,SSD,,M.2-2280,M.2 SATA
Western Digital Black AN1500,888.74,2000.0,0.103,SSD,,PCIe,PCIe x8
Western Digital Blue SN570,905.6,2000.0,0.104,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Kingston Fury Renegade with Heat Sink,1761.06,4000.0,0.102,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Red Plus,953.22,8000.0,0.027,7200,256.0,3.5,SATA 6.0 Gb/s
Samsung 840 Evo,411.64,250.0,0.38,SSD,,2.5,SATA 6.0 Gb/s
Silicon Power A55,108.28,256.0,0.098,SSD,,2.5,SATA 6.0 Gb/s
Seagate FireCuda 540,849.22,1000.0,0.196,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Corsair MP600 PRO NH,281.56,500.0,0.13,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate BarraCuda,558.91,4000.0,0.032,5400,128.0,2.5,SATA 6.0 Gb/s
PNY CS900,128.69,250.0,0.119,SSD,,2.5,SATA 6.0 Gb/s
Inland Professional,90.95,120.0,0.175,SSD,,2.5,SATA 6.0 Gb/s
ADATA XPG GAMMIX S11 Pro,412.02,1000.0,0.095,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate Exos X16,1891.18,16000.0,0.027,7200,256.0,3.5,SATA 6.0 Gb/s
ADATA LEGEND 700,441.58,1000.0,0.102,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Inland Performance Plus,1221.86,4000.0,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue SN550,173.28,250.0,0.16,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital WD_BLACK SN850P for PS5,866.56,2000.0,0.1,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue SA510,246.94,500.0,0.114,SSD,,2.5,SATA 6.0 Gb/s
SK Hynix Gold P31,272.94,500.0,0.126,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Toshiba MG09 512e,1386.52,18000.0,0.018,7200,512.0,3.5,SATA 6.0 Gb/s
Western Digital Red,272.94,2000.0,0.031,5400,256.0,3.5,SATA 6.0 Gb/s
KIOXIA EXCERIA PRO,1123.68,2000.0,0.13,SSD,,M.2-2280,M.2 PCIe 4.0 X4
GOODRAM PX700,588.59,1024.0,0.133,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Toshiba DT01ACA050,146.11,500.0,0.067,7200,32.0,3.5,SATA 6.0 Gb/s
Silicon Power XS70,1299.86,4000.0,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4
ADATA XPG GAMMIX S70 Blade,1213.2,4000.0,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Toshiba X300,498.25,4000.0,0.029,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital Gold,1819.82,20000.0,0.021,7200,512.0,3.5,SATA 6.0 Gb/s
Verbatim Vi3000,307.6,1000.0,0.071,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue SN580,203.61,250.0,0.188,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 960 Pro,770.02,512.0,0.347,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4
Silicon Power US75,576.25,2000.0,0.066,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital WD Blue,259.94,2000.0,0.03,5400,64.0,3.5,SATA 6.0 Gb/s
Kingston KC600,255.13,512.0,0.115,SSD,,2.5,SATA 6.0 Gb/s
Western Digital SN530,259.94,512.0,0.117,SSD,,M.2-2280,M.2 PCIe 3.0 X4
