name,price,socket,form_factor,max_memory,memory_slots,color
Asus ROG STRIX Z790-E GAMING WIFI II,1854.48,LGA1700,ATX,192,4,Black
MSI B550-A PRO,476.59,AM4,ATX,128,4,Black / Silver
MSI PRO A620M-E,324.76,AM5,Micro ATX,96,2,Black
MSI PRO H610M-G DDR4,346.6,LGA1700,Micro ATX,64,2,Black / Silver
ASRock B650M Pro RS,584.91,AM5,Micro ATX,192,4,Black / Silver
MSI PRO Z690-A WIFI,649.91,LGA1700,ATX,192,4,Black / Silver
Asus ROG STRIX B760-I GAMING WIFI,866.56,LGA1700,Mini ITX,96,2,Black
ASRock B550M Pro4,433.26,AM4,Micro ATX,128,4,Silver / Black
Gigabyte A520I AC,476.59,AM4,Mini ITX,64,2,Black
ASRock B450M/ac R2.0,336.5,AM4,Micro ATX,128,4,Black / Silver
MSI B450M PRO-VDH MAX,324.93,AM4,Micro ATX,64,4,Black / Silver
ASRock B760M-HDV/M.2,519.92,LGA1700,Micro ATX,96,2,White / Black
Gigabyte B760M DS3H DDR4,433.26,LGA1700,Micro ATX,128,4,Black
Asus TUF GAMING B550-PLUS WIFI II,580.62,AM4,ATX,128,4,Black / Gray
Gigabyte B650M D3HP,519.92,AM5,Micro ATX,192,4,Black
MSI PRO B650-P WIFI,706.24,AM5,ATX,192,4,Black
Asus ROG STRIX B550-A GAMING,745.23,AM4,ATX,128,4,Black / White
Asus TUF GAMING A520M-PLUS WIFI,424.59,AM4,Micro ATX,128,4,Black / Orange
Gigabyte B650 GAMING X AX V2,801.56,AM5,ATX,192,4,Gray / Black
Asus ROG STRIX X670E-E GAMING WIFI,1949.81,AM5,ATX,192,4,Black / Silver
Asus ROG MAXIMUS Z790 FORMULA,3249.71,LGA1700,ATX,192,4,Silver / Black
NZXT N7 B650E,1213.2,AM5,ATX,128,4,White
ASRock Z690M-ITX/ax,584.91,LGA1700,Mini ITX,64,2,Silver / Black
Gigabyte B550M AORUS ELITE AX,433.26,AM4,Micro ATX,128,4,Black / Silver
MSI MPG B550 GAMING PLUS,567.62,AM4,ATX,128,4,Black
Gigabyte B550 AORUS ELITE AX V2,606.58,AM4,ATX,128,4,Black / Silver
ASRock A620I LIGHTNING WIFI,606.58,AM5,Mini ITX,96,2,Black
Gigabyte B650M AORUS ELITE AX,823.23,AM5,Micro ATX,192,4,Black
Gigabyte B450M DS3H WIFI,385.55,AM4,Micro ATX,128,4,Brown / Black
Asus TUF GAMING X570-PLUS (WI-FI),840.56,AM4,ATX,128,4,Black / Gold
ASRock B760M-H/M.2,389.93,LGA1700,Micro ATX,96,2,Silver / Black
Asus TUF GAMING X670E-PLUS WIFI,1169.87,AM5,ATX,192,4,Black / Orange
ASRock B650M-HDV/M.2,653.03,AM5,Micro ATX,96,2,Silver / Black
MSI MPG B650I EDGE WIFI,1132.34,AM5,Mini ITX,96,2,Black / Silver
Gigabyte B650I AORUS ULTRA,1126.54,AM5,Mini ITX,96,2,Black / Silver
Gigabyte B550 GAMING X V2,402.93,AM4,ATX,128,4,Black
