name,price,type,efficiency,wattage,modular,color
Corsair AX1200,3028.77,ATX,gold,1200,Full,
Corsair HX1200 Platinum,1798.2,ATX,platinum,1200,Full,
Super Flower Leadex Platinum SE,628.24,ATX,platinum,1000,Full,White
SeaSonic FOCUS Plus 750 Gold,324.93,ATX,gold,750,Full,
Asus TUF Gaming 850G,606.58,ATX,gold,850,Full,Black
Apevia Prestige,290.22,ATX,gold,800,false,Black
Asus Prime AP-750G,476.59,ATX,gold,750,Full,White / Black
ADATA XPG CORE Reactor 750,389.93,ATX,gold,750,Full,Black
Super Flower Leadex III Gold,433.26,ATX,gold,750,Full,Black
EVGA 600 GD,324.89,ATX,gold,600,false,Black
Apevia Galaxy,303.22,ATX,gold,850,Semi,Black
MSI MAG A750BN PCIE5,363.97,ATX,bronze,750,false,Black
Logisys PS480D,73.57,ATX,,480,false,
EVGA SuperNOVA 850 P5,519.92,ATX,platinum,850,Full,Black / Teal
Thermaltake Smart BM3,346.55,ATX,bronze,850,Semi,Black
EVGA 700 GD,368.26,ATX,gold,700,false,Black
Gigabyte UD1000GM,563.25,ATX,gold,1000,Full,Black
Corsair RM750 (2019),910.32,ATX,gold,750,Full,Black
Lian Li SP750,606.58,SFX,gold,750,Full,White
Corsair RM1200x SHIFT,892.55,ATX,gold,1200,Full / Side,Black
Corsair RM1000x,1061.54,ATX,gold,1000,Full,
Lian Li SP850,636.69,SFX,gold,850,Full,White
SeaSonic FOCUS GX,563.25,ATX,gold,1000,Full,Black
Corsair RM1000x SHIFT,815.21,ATX,gold,1000,Full / Side,White
Thermaltake Toughpower GF3 TT Premium,1256.53,ATX,gold,1650,Full,Black
Gigabyte UD1000GM PG5 (rev. 2.0),498.25,ATX,gold,1000,Full,Black
Asus ROG THOR P2 Gaming,866.56,ATX,platinum,850,Full,Black / Silver
EVGA 400 N1,299.37,ATX,,400,false,
SeaSonic FOCUS GX,411.59,ATX,gold,850,Full,Black
Corsair RM850x SHIFT,628.24,ATX,gold,850,Full / Side,Black
ADATA XPG Core Reactor II,454.92,ATX,gold,850,Full,White
be quiet! Straight Power 12,692.85,ATX,platinum,850,Full,Black
SeaSonic FOCUS Plus Gold,563.25,ATX,gold,1000,Full,Black
be quiet! Dark Power Pro 13,1602.78,ATX,titanium,1300,Full,Black
SeaSonic FOCUS Gold,303.27,ATX,gold,550,Semi,
Deepcool PM850D,368.26,ATX,gold,850,false,Black
SeaSonic FOCUS Plus Platinum,584.91,ATX,platinum,850,Full,
Asus ROG THOR P2 Gaming,1429.85,ATX,platinum,1000,Full,Silver / Black
Corsair RM1000x SHIFT,810.23,ATX,gold,1000,Full / Side,Black
SeaSonic VERTEX GX-1200,833.28,ATX,gold,1200,Full,Black / Silver
Thermaltake Toughpower GF3 TT Premium,441.97,ATX,gold,850,Full,Black
Apevia Premier,259.94,ATX,gold,650,Semi,Black
Cooler Master V SFX Platinum,933.89,SFX,platinum,1100,Full,Black
G.Skill MB750G,359.6,ATX,gold,750,Full,Black
ADATA XPG CORE Reactor 650,368.05,ATX,gold,650,Full,Black
EVGA SuperNOVA 750 P5,736.57,ATX,platinum,750,Full,Black / Teal
Corsair RM750x SHIFT,389.93,ATX,gold,750,Full / Side,Black
EVGA SuperNOVA 1000G XC,541.58,ATX,gold,1000,Full,Black
EVGA 700 BR,311.89,ATX,bronze,700,false,
Cooler Master MWE Bronze V2,3116.73,ATX,bronze,650,false,Black
CoolMax I-500,115.6,ATX,,500,false,
EVGA 850 B5,433.26,ATX,bronze,850,Full,Black
Lian Li SP850,614.72,SFX,gold,850,Full,Black
Thermaltake Smart BM3,389.93,ATX,bronze,750,Semi,Black
Athena Power AP-MTFX30,160.28,TFX,,300,false,
be quiet! Pure Power 12 M,636.52,ATX,gold,1200,Full,Black
Deepcool PQ1000M,563.25,ATX,gold,1000,Full,Black
EVGA SuperNOVA 850 GM,671.57,SFX,gold,850,Full,Black
Thermaltake Smart BX1,324.89,ATX,bronze,750,false,Black
GameMax GX Pro Rampage,372.59,ATX,gold,850,Full,Black
be quiet! SFX L Power,565.59,SFX,gold,600,Full,
Deepcool PX850G,498.25,ATX,gold,850,Full,Black
SeaSonic S12III,280.82,ATX,bronze,500,false,Black
SeaSonic PRIME TX-1600 ATX 3.0,2252.38,ATX,titanium,1600,Full,Black / Silver
Gigabyte P550B,342.22,ATX,bronze,550,false,Black
Asus TUF Gaming B,220.94,ATX,bronze,450,false,Black
Thermaltake Toughpower GF A3 - TT Premium Edition,389.93,ATX,gold,750,Full,Black
Corsair CX550 (2017),727.38,ATX,bronze,550,false,
Cooler Master G700,303.27,ATX,gold,700,false,Black
SeaSonic PRIME TX-1300 ATX 3.0,2153.41,ATX,titanium,1300,Full,Black / Silver
Corsair SF600,931.6,SFX,platinum,600,Full,Black
Gigabyte UD-GM PG5,541.58,ATX,gold,850,Full,White
EVGA 750 N1,274.97,ATX,,750,false,
Deepcool PX1000G WH,667.2,ATX,gold,1000,Full,White
EVGA 650 GQ,411.42,ATX,gold,650,Semi,
Asus TUF Gaming 750G,433.26,ATX,gold,750,Full,Black
Gigabyte P850GM,563.25,ATX,gold,850,Full,Black
Antec NeoECO Gold,603.93,ATX,gold,750,Full,
be quiet! SFX L Power,558.26,SFX,gold,500,Full,
Corsair RM1200x SHIFT,1039.88,ATX,gold,1200,Full / Side,White
EVGA 600 W1,263.92,ATX,plus,600,false,
SeaSonic VERTEX GX-1000,736.57,ATX,gold,1000,Full,Black / Silver
EVGA 850 BQ,404.31,ATX,bronze,850,Semi,
Silverstone SFX,944.51,SFX,titanium,800,Full,
EVGA SuperNOVA 850G XC,433.26,ATX,gold,850,Full,Black
Corsair HX1000i,1571.23,ATX,platinum,1000,Full,
SeaSonic VERTEX PX-1200,1278.23,ATX,platinum,1200,Full,Black / Silver
Corsair RM850x (2018),757.76,ATX,gold,850,Full,Black
Silverstone SX500-G,467.92,SFX,gold,500,Full,
EVGA SuperNOVA 1600 G2,2599.76,ATX,gold,1600,Full,
be quiet! SFX Power 3 450,777.77,SFX,bronze,450,false,Black
be quiet! Dark Power 13,692.85,ATX,titanium,750,Full,Black
MSI MEG Ai1000P PCIE5,1087.58,ATX,platinum,1000,Full,Black / Copper
SeaSonic S12III,298.98,ATX,bronze,650,false,Black
Thermaltake Toughpower GF3 TT Premium,433.26,ATX,gold,750,Full,Black
Vetroo GV1000,563.25,ATX,gold,1000,Full,White
Azza PSAZ-550W,235.33,ATX,bronze,550,false,Black
Thermaltake TR2 S,321.51,ATX,plus,600,false,Black
SeaSonic FOCUS SPX (2021),816.47,SFX,platinum,750,Full,Black
Asus ROG LOKI,927.22,SFX,platinum,850,Full,White / Silver
PowerSpec PS 650BF,255.6,ATX,bronze,650,false,Black
Corsair RM750x (2018),714.9,ATX,gold,750,Full,Black
PowerSpec PS 750BSM,316.22,ATX,bronze,750,Semi,Black
be quiet! System Power 10,1031.95,ATX,bronze,750,false,Black
Montech CENTURY MINI,428.53,SFX,gold,750,Full,Black
Thermaltake TR2,269.04,ATX,,500,false,
be quiet! Pure Power 12 M,649.52,ATX,gold,550,Full,Black
Corsair RM850x,757.76,ATX,gold,850,Full,
