name,price,type,efficiency,wattage,modular,color
EVGA SuperNOVA 1000 G7,1039.88,ATX,gold,1000,Full,Black / Blue
Gigabyte AORUS P GM,523.9,ATX,gold,750,Full,Black / Silver
Gigabyte UD850GM PG5 (rev. 2.0),697.57,ATX,gold,850,Full,Black
SeaSonic SSP-300SUG,411.64,Flex ATX,gold,300,false,
be quiet! System Power 9 700 CM,1017.0,ATX,bronze,700,Semi,Black
Antec NeoECO Gold,805.42,ATX,gold,850,Full,
Corsair Vengeance 750M,411.59,ATX,silver,750,Semi,
SeaSonic VERTEX PX-850,823.23,ATX,platinum,850,Full,Black / Silver
Enermax Revolution D.F. X,1234.86,ATX,gold,1650,Full,Black
EVGA SuperNOVA 750 G6,589.98,ATX,gold,750,Full,Black
Thermaltake Toughpower GF A3 - TT Premium Edition,556.66,ATX,gold,850,Full,Black
Super Flower LEADEX VII XG,825.96,ATX,gold,850,Full,Black
Corsair RM850e (2022),671.62,ATX,gold,850,Full,Black
Xilence XP500R6,296.94,ATX,,500,false,Black / Red
Super Flower Leadex Platinum,619.53,ATX,platinum,850,Full,Black
Cougar VTE,246.94,ATX,bronze,600,false,Black
Silverstone TX500-G,597.91,TFX,gold,500,false,Black
Cooler Master XG850 Plus,635.17,ATX,platinum,850,Full,Black
Thermaltake Toughpower GF1 PE,461.51,ATX,gold,650,Full,
EVGA SuperNOVA 1000 G6,1338.16,ATX,gold,1000,Full,Black
SeaSonic CORE GM,497.86,ATX,gold,650,Semi,Black
In Win IP-S200DF1-0,225.4,TFX,,200,false,
KOLINK Regulator,476.59,ATX,gold,750,Full,Black
EVGA SuperNOVA 1300 P+,1126.54,ATX,platinum,1300,Full,Black
ADATA XPG Core Reactor II,411.59,ATX,gold,750,Full,Black
Corsair CX550F,693.24,ATX,bronze,550,Full,Black
Corsair HX1000i (2022),1299.86,ATX,platinum,1000,Full,Black
be quiet! Straight Power 11 1000W,797.23,ATX,gold,1000,Full,
Razer Katana Chroma,1689.83,ATX,platinum,1200,Full,Black
Cooler Master GX III GOLD,682.06,ATX,gold,850,Full,Black
Corsair AX760i,895.46,ATX,platinum,760,Full,
Super Flower Leadex III Gold,545.91,ATX,gold,650,Full,Black
Silverstone Strider Titanium,1559.84,ATX,titanium,1300,Full,Black / Blue
Silverstone Strider Platinum S,931.55,ATX,platinum,1000,Full,Black
Super Flower Leadex III ARGB,541.58,ATX,gold,650,Full,White
Super Flower Leadex VI Platinum PRO,649.91,ATX,platinum,1000,Full,Black / Blue
Asus ROG Strix Aura Edition,671.57,ATX,gold,750,Full,Black
Enermax MAXREVO SLI,649.69,ATX,gold,1350,Full,Black / Gold
Antec CSK,349.02,ATX,bronze,650,false,Black / Yellow
SHARKOON SilentStorm,605.23,SFX,gold,500,Full,Black
EVGA N1,238.27,ATX,,550,false,
SHARKOON SilentStorm Cool Zero 750,600.77,ATX,gold,750,Full,Black
EVGA SuperNOVA 650 G6,504.06,ATX,gold,650,Full,Black
EVGA SuperNOVA 750 P2,1299.86,ATX,platinum,750,Full,
NZXT E850,476.59,ATX,gold,850,Full,Black
Thermaltake Toughpower PF3-L,909.89,ATX,platinum,1200,Full,Black
Antec NE1300G M ATX3.0,909.89,ATX,gold,1300,Full,Black
Cooler Master V850 Gold V2,876.35,ATX,gold,850,Full,Black
Thermaltake Smart BX1 550,415.97,ATX,bronze,550,false,Black
Silverstone HELA 850R,966.56,ATX,platinum,850,Full,Black / Silver
EVGA 600 B1,606.58,ATX,bronze,600,false,
Enermax Revolution D.F. X,480.66,ATX,gold,1200,Full,Black
Thermaltake Toughpower Grand RGB,628.2,ATX,gold,750,Full,
SeaSonic PRIME PX,2248.83,ATX,platinum,1000,Full,Black / Silver
Cooler Master XG750 Plus,524.25,ATX,platinum,750,Full,Black
Enermax REVOLUTION D.F. 2,463.59,ATX,gold,850,Full,Black
ADATA XPG Core Reactor II,381.26,ATX,gold,650,Full,Black
EVGA SuperNOVA 1000 G3,1689.83,ATX,gold,1000,Full,
Thermaltake Toughpower PF3-L,736.57,ATX,platinum,1050,Full,Black
SHARKOON SilentStorm Cool Zero 650,540.59,ATX,gold,650,Full,Black
SeaSonic PRIME,563.25,ATX,gold,850,Full,Black
EVGA SuperNOVA 650 G1,968.38,ATX,gold,650,Full,
EVGA SuperNOVA 650 P2,1473.18,ATX,platinum,650,Full,
EVGA SuperNOVA 1000 P6,1768.73,ATX,platinum,1000,Full,Black / Silver
FSP Group Dagger Pro,779.9,SFX,gold,850,Full,Black / Gold
Super Flower Leadex V Pro,1299.86,ATX,platinum,1000,Full,White
Cooler Master MasterWatt,476.63,ATX,bronze,750,Semi,Black
Cougar GEX,476.59,ATX,gold,850,Full,Black
Corsair RM750x White,1512.22,ATX,gold,750,Full,White / Black
Corsair TX650,1104.92,ATX,plus,650,false,
Thermaltake Toughpower GF1 PE,537.08,ATX,gold,750,Full,Black
EVGA GE,387.63,ATX,gold,700,false,Black
EVGA SuperNOVA 750 G7,584.91,ATX,gold,750,Full,Black / Blue
Gigabyte UD1300GM PG5,866.56,ATX,gold,1300,Full,Black
be quiet! Straight Power 11,730.02,ATX,platinum,750,Full,Black
Cooler Master V650,600.77,ATX,gold,650,Full,
Fractal Design Ion+ 2 Platinum,825.09,ATX,platinum,560,Full,Black
CoolMax V-400,206.6,ATX,,400,false,
Thermaltake Smart RGB 230V,282.03,ATX,plus,600,false,Black
BitFenix BFG GOLD ATX3.0,432.87,ATX,gold,850,Full,Black
SeaSonic PRIME,966.74,ATX,gold,1000,Full,Black
be quiet! SFX Power 3 300,647.65,SFX,bronze,300,false,Black
Silverstone TX700-G,736.57,TFX,gold,700,false,Black
Corsair RM650,962.75,ATX,gold,650,Full,
Super Flower LEADEX VII XG,953.22,ATX,gold,1000,Full,White
Silverstone Essential,262.45,ATX,bronze,550,false,Black
MSI MPG A750G PCIE5,606.58,ATX,gold,750,Full,Black
SeaSonic PRIME,476.59,ATX,gold,750,Full,Black
Antec NE850G M ATX3.0,659.27,ATX,gold,850,Full,Black
Xilence XP400R6,424.16,ATX,,400,false,Black / Red
Thermaltake Toughpower Grand RGB,506.92,ATX,gold,650,Full,
KOLINK Regulator,563.25,ATX,gold,850,Full,Black
Apex AL-8250SFX,336.72,SFX,,250,false,
Apex SL-275TFX,199.1,TFX,,275,false,
Cougar VTE X2,363.89,ATX,plus,750,false,Black
Antec Signature Platinum,769.19,ATX,platinum,1000,Full,Black
Silverstone Strider Platinum S,1169.87,ATX,platinum,1200,Full,Black
SeaSonic PRIME Ultra Titanium,1711.54,ATX,titanium,850,Full,
EVGA SuperNOVA 650 G7,411.59,ATX,gold,650,Full,Black / Blue
Deepcool PX1300P,1256.53,ATX,platinum,1300,Full,Black / Silver
Razer Katana Chroma,1187.68,ATX,platinum,850,Full,Black
SeaSonic G,601.29,ATX,gold,450,Semi,
SeaSonic VERTEX GX-750,476.59,ATX,gold,750,Full,Black / Silver
Gigabyte UD1000GM PG5,810.88,ATX,gold,1000,Full,Black
Corsair CS750M,940.22,ATX,gold,750,Semi,
"FSP Group Hydro PTM X PRO,Gen5",736.61,ATX,platinum,1000,Full,Black
FSP Group FSP300-60LG,665.51,Mini ITX,bronze,300,false,
Cooler Master GX III GOLD,674.34,ATX,gold,750,Full,Black / Purple
SeaSonic PRIME Titanium,2595.47,ATX,titanium,1000,Full,
Sparkle FSP300-60ATV,259.94,ATX,,300,false,
EVGA SuperNOVA G FTW,736.57,ATX,gold,1000,Full,Black
FSP Group Hydro GE,367.35,ATX,gold,650,Full,
Corsair RM650x,881.33,ATX,gold,650,Full,
Antec VP PLUS,539.29,ATX,plus,700,false,Black
Super Flower Leadex Platinum,1126.54,ATX,platinum,1600,Full,Black
Azza ARGB,281.56,ATX,bronze,650,false,Black
ADATA XPG Core Reactor II,693.24,ATX,gold,1200,Full,Black
Thermaltake Toughpower SFX 600W Gold,585.13,SFX,gold,600,Full,Black
Thermaltake Smart SE,1063.62,ATX,,630,Semi,
Thermaltake Smart SE,476.63,ATX,,530,Semi,Black
EVGA SuperNOVA 850 G+,736.57,ATX,gold,850,Full,
Enermax Revolution D.F.,463.59,ATX,gold,750,Full,Black / Silver
"FSP Group Hydro PTM X PRO,Gen5",1083.21,ATX,platinum,1200,Full,Black
SeaSonic S12III,515.63,ATX,bronze,550,false,Black
SeaSonic PRIME PX,736.57,ATX,platinum,750,Full,Black / Silver
Logisys PS550E12BK,173.28,ATX,,550,false,
Thermaltake Toughpower Grand RGB Platinum,1429.67,ATX,platinum,1200,Full,Black
be quiet! Dark Power 12,1269.09,ATX,titanium,750,Full,Black
Thermaltake Smart Pro RGB,736.57,ATX,bronze,750,Full,
Super Flower Leadex V Pro,1083.21,ATX,gold,1000,Full,Black / Gold
NZXT C (2019),476.54,ATX,gold,750,Full,Black
Super Flower Leadex III ARGB,727.9,ATX,gold,850,Full,White
Silverstone Strider,447.86,ATX,gold,550,Full,
"FSP Group Hydro PTM X PRO,Gen5",622.91,ATX,platinum,850,Full,Black
Corsair RM550,974.88,ATX,gold,550,Full,
Enermax REVOLUTION D.F. 2,463.59,ATX,gold,1200,Full,Black
Corsair HX750,1187.2,ATX,gold,750,Semi,
Cougar COUGAR-GX1050,714.9,ATX,gold,1050,Semi,
Corsair HX1050,1858.86,ATX,gold,1050,Semi,
Silverstone Strider Titanium,1473.18,ATX,titanium,1100,Full,Black / Blue
Gigabyte UD-GM PG5,697.57,ATX,gold,850,Full,Black
Cougar GEX,889.22,ATX,gold,1050,Full,Black
Corsair AX850,1386.52,ATX,gold,850,Full,
Thermaltake Toughpower PF3-L,649.91,ATX,platinum,850,Full,Black
Thermaltake TR2,259.94,ATX,bronze,450,false,
be quiet! Straight Power 11 450W,1083.25,ATX,gold,450,Full,
SeaSonic PRIME Ultra Gold 750,476.59,ATX,gold,750,Full,Black
Cougar POLAR,909.89,ATX,platinum,1050,Full,White
EVGA SuperNOVA 650 P6,607.1,ATX,platinum,650,Full,Black / Silver
Super Flower LEADEX VII Platinum PRO,1169.87,ATX,platinum,1200,Full,Black
Cooler Master MWE Bronze 550,572.78,ATX,bronze,550,false,Black
"FSP Group Hydro PTM PRO,Gen5",1169.87,ATX,platinum,1200,Full,Black
Super Flower LEADEX VII Platinum PRO,996.55,ATX,platinum,1000,Full,Black
Deepcool DQ-M-V2L,776.43,ATX,gold,850,Full,Black / Green
Apevia ATX-JP1000W,398.51,ATX,bronze,1000,false,
be quiet! Pure Power 11 FM 850,1299.42,ATX,gold,850,Full,Black
Cooler Master V1300 Platinum,1698.1,ATX,platinum,1300,Full,Black
SHARKOON SilentStorm Cool Zero 850,731.45,ATX,gold,850,Full,Black
Corsair VS500,866.3,ATX,plus,500,false,
Deepcool PX1000P,996.55,ATX,platinum,1000,Full,Black / Silver
CoolMax V-500,142.08,ATX,,500,false,
Deepcool PQ650M,558.87,ATX,gold,650,Full,Black
Cougar BXM750,422.99,ATX,bronze,750,Semi,Orange / Black
Enermax Revolution D.F. 12,649.91,ATX,gold,850,Full,White
Athena Power Apollo,216.61,SFX,,300,false,
Chieftec ATMOS,646.27,ATX,gold,750,Full,Black
ADATA XPG CYBERCORE II,1213.2,ATX,platinum,1300,Full,Black
ADATA XPG CYBERCORE,909.89,ATX,platinum,1300,Full,Black / Silver
Silverstone Essential,408.99,ATX,gold,750,false,Black / Yellow
SeaSonic VERTEX PX-750,779.9,ATX,platinum,750,Full,Black / Silver
EVGA SuperNOVA G FTW,498.25,ATX,gold,850,Full,Black
Antec EARTHWATTS GOLD PRO 750,748.74,ATX,gold,750,Semi,Black
ADATA XPG CYBERCORE II,909.89,ATX,platinum,1000,Full,Black
Antec High Current Gamer,672.96,ATX,bronze,620,Semi,
Fractal Design Ion Gold,616.46,ATX,gold,650,Full,Black
Silverstone Strider,428.1,ATX,bronze,700,Full,
KOLINK Regulator,649.91,ATX,gold,1000,Full,Black
Super Flower Leadex V Platinum Pro,736.57,ATX,platinum,850,Full,White
EVGA 500 BA,280.3,ATX,bronze,500,false,Black
PC Power & Cooling PM0600,501.46,ATX,bronze,600,Semi,Black / Red
Corsair HX1000,2079.8,ATX,plus,1000,Semi,
SeaSonic PRIME Ultra Gold 850,563.25,ATX,gold,850,Full,Black
Silverstone Essential,395.3,ATX,gold,750,Semi,Black / Blue
be quiet! TFX Power 3 300,502.37,TFX,gold,300,false,Black
Silverstone Strider Platinum,915.65,ATX,platinum,850,Full,
Enermax PlatiGemini,1083.21,ATX,platinum,1200,Full,Black
Silverstone ST75F-GS-V3,426.8,ATX,gold,750,Full,Black
Xilence XP550R9,580.62,ATX,gold,550,false,Black / Red
Xilence XP850MR9,602.33,ATX,gold,850,Semi,Black / Red
Thermaltake Toughpower PF1 - TT Premium Edition,974.88,ATX,platinum,750,Full,Black
Silverstone Strider,1197.86,ATX,silver,1500,false,
Corsair VS400,1598.88,ATX,plus,400,false,
SeaSonic PRIME Ultra Platinum 750,736.57,ATX,platinum,750,Full,Black
SeaSonic SS-300TFX Bronze,272.55,TFX,bronze,300,false,
FSP Group Hydro PTM PRO,779.9,ATX,platinum,1000,Full,Black
KOLINK Regulator,736.57,ATX,gold,1200,Full,Black
Chieftec Polaris,1013.27,ATX,gold,550,Full,Black
EVGA 700 B1,942.38,ATX,bronze,700,false,
Silverstone Strider Titanium,811.05,ATX,titanium,700,Full,
Thermaltake Toughpower GF2 ARGB,628.24,ATX,gold,750,Full,Black
Silverstone Essential,519.92,ATX,gold,650,false,Black
ADATA XPG CYBERCORE,823.23,ATX,platinum,1000,Full,Black / Silver
YEYIAN Raiden RGB,303.22,ATX,bronze,650,false,Black
Phanteks Revolt Pro,1646.54,ATX,gold,850,Full,Silver / Black
Super Flower Leadex V Pro,758.23,ATX,gold,1000,Full,White
Super Flower Leadex VI Platinum PRO,779.9,ATX,platinum,850,Full,Black / Blue
Silverstone ST85F-GS-V2,556.62,ATX,gold,850,Full,
Antec Earthwatts Green,468.44,ATX,plus,500,false,
Fractal Design Anode Bronze,571.39,ATX,bronze,750,Semi,Black
FSP Group FSP500-50FSPT,862.22,Flex ATX,platinum,500,false,
In Win P75,563.03,ATX,gold,750,Full,Black
Thermaltake Toughpower GF1 - TT Premium,875.22,ATX,gold,1200,Full,Black
Silverstone TX300,356.26,TFX,bronze,300,false,Black
Sparkle ATX-350PN-B204,251.27,ATX,,350,false,
RAIJINTEK CRATOS,411.2,ATX,gold,850,Full,Black
EVGA SuperNOVA 750 PQ,946.72,ATX,platinum,750,Semi,Black
Rosewill VALENS-600,606.62,ATX,gold,600,false,
SeaSonic SSP-300TBS,316.7,TFX,bronze,300,false,Silver
In Win P85,691.76,ATX,gold,850,Full,Black
In Win P65,525.81,ATX,gold,650,Full,Black
Enermax Platimax D.F.,654.24,ATX,platinum,1050,Full,Black
In Win P130II,1008.51,ATX,platinum,1300,Full,Black
Enermax Revolution D.F. X,1083.21,ATX,gold,1350,Full,Black
PC Power & Cooling Silencer,851.09,ATX,platinum,1050,Full,
Thermaltake Toughpower iRGB PLUS 750,912.75,ATX,gold,750,Full,Black
Silverstone Essential,385.55,ATX,gold,550,Semi,Black
Super Flower Leadex V Platinum Pro,823.23,ATX,platinum,1000,Full,White
SHARKOON SilentStorm,397.9,SFX,bronze,450,false,Black
Athena Power AP-MFATX40P8,511.38,Flex ATX,bronze,400,false,
Corsair AX650,1083.25,ATX,gold,650,Full,
FSP Group Hydro PTM PRO,693.24,ATX,platinum,850,Full,Black
Super Flower LEADEX VII Platinum PRO,736.57,ATX,platinum,850,Full,Black
Silverstone Strider Platinum,589.24,ATX,platinum,750,Full,
Thermaltake Toughpower GF2 ARGB,533.39,ATX,gold,650,Full,Black
Thermaltake Toughpower PF1 - TT Premium Edition,1319.18,ATX,platinum,1050,Full,Black
In Win P105II,794.5,ATX,platinum,1050,Full,Black
Antec Basiq,382.78,ATX,,350,false,
Corsair TX750 V2,1386.56,ATX,bronze,750,false,
Thermaltake Toughpower iRGB PLUS 850,1234.9,ATX,gold,850,Full,Black
Rosewill PMG750,498.25,ATX,gold,750,Full,Black
Thermaltake TOUGHPOWER PF1 ARGB,1299.86,ATX,platinum,850,Full,
Enermax Revolution D.F. 12,606.58,ATX,gold,850,Full,Black
Silverstone Strider Platinum,606.58,ATX,platinum,650,Full,
SeaSonic PRIME Ultra Platinum 850,1559.84,ATX,platinum,850,Full,Black
Chieftec ATMOS,904.3,ATX,gold,850,Full,Black
FSP Group Hydro PTM PRO,649.91,ATX,platinum,750,Full,Black
FSP Group Hydro GE,411.59,ATX,gold,650,Full,Black
EVGA SuperNOVA 850 GA,1516.55,ATX,gold,850,Full,
Rosewill Green,736.61,ATX,plus,530,false,
Kingwin ABT-1050MM,389.93,ATX,,1050,false,
SeaSonic SS-400ET Bronze,424.63,ATX,bronze,400,false,
Super Flower Leadex III ARGB Pro,714.9,ATX,gold,650,Full,Black
Rosewill Green,346.64,ATX,plus,430,false,
In Win PB,649.95,ATX,gold,750,Full,
Thermaltake Toughpower,1663.53,ATX,gold,1500,Semi,
In Win IP-S300FF1-0,247.02,TFX,plus,300,false,
Super Flower Leadex III ARGB Pro,823.23,ATX,gold,750,Full,Black
Super Flower Leadex Gold,1299.86,ATX,gold,1300,Full,
Enermax MaxTytan,1603.17,ATX,titanium,1050,Full,
Antec True Power,1000.1,ATX,bronze,850,Full,
Fractal Design Anode Bronze,630.41,ATX,bronze,550,Semi,Black
Antec Earthwatts,541.54,ATX,bronze,500,false,
Sparkle ATX-300PA,823.23,ATX,,300,false,
Enermax Revolution D.F. 12,563.25,ATX,gold,750,Full,Black
Antec Earthwatts Green,453.41,ATX,bronze,430,false,
Chieftec Polaris 3.0,765.55,ATX,gold,850,Full,Black
StarTech ATX2POWER350,649.95,ATX,,350,false,
iStarUSA TC-1200PD8G,1351.85,ATX,,1200,Full,Gray
Athena Power AP-MFATX50P8,779.9,Flex ATX,silver,500,false,
SeaSonic SS-600ES,434.43,ATX,bronze,600,false,Gray
Chieftec Polaris 3.0,939.61,ATX,gold,1050,Full,Black
SeaSonic SS-850HT Silver,732.28,ATX,silver,850,false,
PC Power & Cooling Silencer,1295.48,ATX,platinum,1200,Full,
FSP Group FSP300-60LG-5K,641.37,Flex ATX,bronze,300,false,
Thermaltake EVO_Blue,498.25,ATX,gold,650,Semi,
Corsair TX750 V2,1386.56,ATX,bronze,750,false,
SeaSonic Platinum,583.61,ATX,bronze,600,false,
